QUEST_LV_0400_20161118_000001	凱都拉商團員艾達
QUEST_LV_0400_20161118_000232	讓自己女兒過這麼不足的生活，心中只有歉意。
QUEST_LV_0400_20161118_000233	正在這一帶搜索尋找造箭者之箭。
QUEST_LV_0400_20161118_000234	有這麼多繭，抽取出來的絲就夠拿來縫補帳篷了。{nl}謝謝你的幫忙。
QUEST_LV_0400_20161118_000235	柯提斯
QUEST_LV_0400_20161118_000236	啊，你就是那位救了瑞爾的旅行者。{nl}這裡幾個青年都捉不住怪物，你竟然一個人就打敗了...
QUEST_LV_0400_20161118_000237	{nl}我還沒介紹我自己呢。{nl}我叫柯提斯。
QUEST_LV_0400_20161118_000238	{nl}我在神樹之日失去了我的家園和家人，而來到此處避難，是在這裡掙扎求生的人之一。{nl}雖然到這裡來避難...但因為這裡的情況，我們的處境並沒有比較好。
QUEST_LV_0400_20161118_000239	{nl}要獲取生活所需的資源並不容易。{nl}難民之間也容易有械鬥、竊盜一類的事情...
QUEST_LV_0400_20161118_000240	{nl}之後雖然建立了紀律，從每天攻擊我們的怪物手中守護難民...
QUEST_LV_0400_20161118_000241	但人手相當不足。{nl}你有著拯救瑞爾的實力，那對我們一定會有相當大的幫助。
QUEST_LV_0400_20161118_000242	{nl}那就不知廉恥地拜託你了。
QUEST_LV_0400_20161118_000243	{nl}這裡有許多人餓肚子。{nl}因為來這避難後所開墾的農耕地被搶走了...
QUEST_LV_0400_20161118_000244	{nl}首先，我們需要可以填補飢餓感的食糧。{nl}請消滅普羅雷比，並取得牠頭上的花。
QUEST_LV_0400_20161118_000245	{nl}好好乾燥的話，可以獲得許多種子。{nl}那些種子可以用來做菜。
QUEST_LV_0400_20161118_000246	此處的怪物飢餓許久，相當殘暴。{nl}如果覺得太危險，就不要勉強，馬上逃跑吧。
QUEST_LV_0400_20161118_000247	有了這些，就有許多人能免受飢餓之苦了。{nl}謝謝你。
QUEST_LV_0400_20161118_000248	雖然現在也會有怪物襲擊，但在不久前，怪物是真的很常進行攻擊。{nl}所以我們圍起了柵欄，並將在避難處發現的武器，分發給年輕的男人們。
QUEST_LV_0400_20161118_000249	{nl}在那之後，怪物進到難民村的情形就減少了許多，不過柵欄的承受力弱，是個問題，{nl}一受怪物攻擊就很容易垮掉。
QUEST_LV_0400_20161118_000250	{nl}所以每次都要這樣加工木頭來修理它，{nl}持續需要柵欄修理用的木材。
QUEST_LV_0400_20161118_000251	請拿著我給你的木材製作道具到沙烏庫斯空地去吧。{nl}到沙烏庫斯空地那可以找到堅固的木材。
QUEST_LV_0400_20161118_000252	{nl}在那邊拿到可用的木材後，使用木材製作道具做出柵欄修理用木材就可以了。
QUEST_LV_0400_20161118_000253	因為沒有製作柵欄的知識，製作出來的柵欄耐受力不足。{nl}怪物們只要一攻擊，就通通毀壞了。
QUEST_LV_0400_20161118_000254	{nl}所以每次都要檢查跟修理。{nl}當然也就一直需要很多木材。
QUEST_LV_0400_20161118_000255	有了這些，應該足夠修理一次了。
QUEST_LV_0400_20161118_000256	現在請將柵欄修理用木材分給青年們，他們會開始修理柵欄。
QUEST_LV_0400_20161118_000257	那麼我就不客氣了。{nl}請幫忙修理眼前的柵欄就行了。
QUEST_LV_0400_20161118_000258	其他的柵欄，我會再請別人來修理。
QUEST_LV_0400_20161118_000259	修理柵欄是我們自己就能做到的事...{nl}沒想到你會這麼大力地幫助我們。
QUEST_LV_0400_20161118_000260	米雪勘森林一入夜就相當寒冷。{nl}如果不緊緊裹著棉被睡覺的話，可是會被凍傷的。
QUEST_LV_0400_20161118_000261	{nl}所以需要許多加進普羅倫皮革的衣物和寢具。{nl}不過，我們很難捕捉到普羅倫。
QUEST_LV_0400_20161118_000262	這裡一到晚上，就會把人凍得身體瑟瑟發抖。
QUEST_LV_0400_20161118_000263	有了這麼多，這裡的難民可以不用再擔心酷寒了。
QUEST_LV_0400_20161118_000264	其實這裡最可惜的就是水源問題。{nl}雖然我們四處挖了水井要汲水...
QUEST_LV_0400_20161118_000265	{nl}但白木的毒性滲進地下水中，我們無法直接飲用，{nl}都是先過濾過才作使用。
QUEST_LV_0400_20161118_000266	{nl}過濾水的時候需要一種名為蘭杜林的草。
QUEST_LV_0400_20161118_000267	我給你一瓶水。{nl}蘭杜林草長在地底，不容易看見。
QUEST_LV_0400_20161118_000268	{nl}但只要跟這裡尚未淨化的水接觸，就會發出黃色的光芒。{nl}將水灑在地上，在黃光出現的地方，把泥土去掉，就能看到蘭杜林草了。
QUEST_LV_0400_20161118_000269	在我們什麼都不知道的時候，人們喝了水之後，引起劇烈的腹痛。{nl}當時的藥師亞巫雷爾斯將淨化水的方法教給大家。
QUEST_LV_0400_20161118_000270	沒錯，{nl}你拿來的這個就是蘭杜林草。
QUEST_LV_0400_20161118_000271	{nl}有了這些，我們就有好一陣子的乾淨水源可以喝了。
QUEST_LV_0400_20161118_000272	我剛剛有跟你敘述過關於我們農耕地的事情。{nl}我們就是利用這裡的纜車，在拉賽堤空地邊上開墾了農耕地。
QUEST_LV_0400_20161118_000273	{nl}雖然離村子稍遠，但那裡陽光充足，土質又柔軟。{nl}不過，我們只能利用老舊的纜車來移動，因此必須一直修理纜車。
QUEST_LV_0400_20161118_000274	{nl}我們為了因應不時之需，另外將材料布袋放在不起眼的地方。{nl}可是怪物們好像誤以為那是糧食，就全部偷走了。
QUEST_LV_0400_20161118_000275	是不是因為怪物們太餓了？{nl}連不是食糧的東西都拿走...
QUEST_LV_0400_20161118_000276	啊，是。{nl}是那些布袋沒錯。
QUEST_LV_0400_20161118_000277	現在已經做好準備可以隨時修理纜車了，不過有一點小問題。{nl}帕貝凱利亞農耕地一開墾完畢，怪物就出現了。
QUEST_LV_0400_20161118_000278	{nl}那個地方如同我們的命脈，{nl}怪物要是長時間佔領該地，這裡的人就只能在飢餓中掙扎了。
QUEST_LV_0400_20161118_000279	{nl}所以我正在召集能夠驅趕農耕地怪物的年輕男性們。
QUEST_LV_0400_20161118_000280	我認為這不是光靠一兩個人就能解決的事，所以正在募集人力...{nl}觀察你這段時間的幫忙，我想如果是你，一定可以輕鬆做到。
QUEST_LV_0400_20161118_000281	{nl}從拉賽堤空地搭乘纜車到對面去，就能抵達帕貝凱利亞農耕地。
QUEST_LV_0400_20161118_000282	瑞爾...瑞爾在嗎？{nl}到底跑去哪裡了...{nl}一直交待她不要跑到難民村外面去的...
QUEST_LV_0400_20161118_000283	如果你有看到頭髮紮兩邊，頭上有戴頭巾的女孩子，請將她帶來這裡。
QUEST_LV_0400_20161118_000284	我在找一個頭上有頭巾，且將頭髮紮成兩邊的女孩子，{nl}她的名字叫做瑞爾。你有見到她嗎？
QUEST_LV_0400_20161118_000285	如果你找到她，請把她帶來我這邊。{nl}
QUEST_LV_0400_20161118_000286	原本帕貝凱利亞農耕地只是塊什麼都沒有的荒地，{nl}那裡沒什麼怪物，土地日照充足，看起來是個農耕的好地方。
QUEST_LV_0400_20161118_000287	{nl}所以我們開始在那邊耕種，不知不覺那些作物也長得很好。{nl}不過，怪物們大概是發現有東西吃了，就湧進農耕地，把地給搶走了...
QUEST_LV_0400_20161118_000288	托你的福，我們才能再次恢復農耕作業。{nl}你應該無法一直跟我們待在一起吧？
QUEST_LV_0400_20161118_000289	{nl}在離開之前，先去見見難民們再走吧...{nl}他們應該有很多話想對你說。
QUEST_LV_0400_20161118_000290	你說這地方的難民的苦衷都聽過了？
QUEST_LV_0400_20161118_000291	{nl}你大概會感受到他們的無奈，{nl}感覺得到有一群人，在這個地方不安的生活著。
QUEST_LV_0400_20161118_000292	{nl}有幾個人告訴我，他們不懂這問題的嚴重性，但我比任何人都還要清楚，{nl}如果無法從別處獲得物資支援，這裡的生活就會無止盡地碰壁。
QUEST_LV_0400_20161118_000293	{nl}而且，身為一個長輩，沒能讓孩子們看見更廣闊的世界，我也覺得很對不起他們。{nl}所以我也不是沒想過離開這裡，並移動到他處的方案。
QUEST_LV_0400_20161118_000294	{nl}但是我們現在不知道大森林地帶位在何處，可能會在移動的路途中不斷徘徊。{nl}食量不夠支撐我們到找到適合定居的地方，怪物的威脅也是一大問題。
QUEST_LV_0400_20161118_000295	真的嗎？
QUEST_LV_0400_20161118_000296	{nl}那我就拜託你了，{nl}可以的話，請盡量前往大都市尋求幫助吧。
QUEST_LV_0400_20161118_000297	原來有難民處在接收不到資源的困境之中啊。{nl}我會去向米雪勘森林附近的領主們請求協助，請他們幫幫難民。
QUEST_LV_0400_20161118_000298	事情怎麼樣了？{nl}有都市願意支援我們嗎？
QUEST_LV_0400_20161118_000299	柯拉佩達的騎士團長說要為我們取得米雪勘森林周遭領主的幫助？{nl}這真的是我很想聽到的話。
QUEST_LV_0400_20161118_000300	{nl}謝謝你為了我們這麼盡心盡力。
QUEST_LV_0400_20161118_000301	我會請米雪勘森林周邊的領主協助幫忙難民的，{nl}盡量不讓他們等太久。
QUEST_LV_0400_20161118_000302	亞烏雷斯
QUEST_LV_0400_20161118_000303	我每天每天都會想起神樹之日以前，曾經歌舞昇平的那些日子。{nl}和我妻子一起吃的馬鈴薯餃的味道，比任何食物都還要美味...
QUEST_LV_0400_20161118_000304	神樹之日時，有巨大的木頭枝幹鋪壓垮房子，讓我失去了我妻子，{nl}沒能為我妻子好好善後，一個人苟活，我真的對我自己很失望。
QUEST_LV_0400_20161118_000305	阿爾雷克斯
QUEST_LV_0400_20161118_000306	我也跟柯提斯叔叔一樣害怕被怪物攻擊。
QUEST_LV_0400_20161118_000307	{nl}不久之前，叔叔在驅逐入侵村子的怪物時，被怪物攻擊，{nl}他受了重傷痛苦的樣子，我到現在還歷歷在目。
QUEST_LV_0400_20161118_000308	要是沒有神樹之日，我應該是跟我最愛的戀人結婚，幸福快樂地過著日子的...
QUEST_LV_0400_20161118_000309	威欽斯
QUEST_LV_0400_20161118_000310	剛來到這裡的時候，{nl}瓦兒塔斯曾經為了妻子小孩，而竊取別人的東西。
QUEST_LV_0400_20161118_000311	{nl}瓦兒塔斯從前是個樂善好施的人...{nl}看了他那個樣子，我瞭解到人是會被情勢所改變。
QUEST_LV_0400_20161118_000312	我大概可以理解瓦兒塔斯為什麼要拿走別人的物品。
QUEST_LV_0400_20161118_000313	{nl}當時伊瓦特夫人剛生完小孩，{nl}但沒有東西可以吃，因此伊瓦特也無法分泌母乳。
QUEST_LV_0400_20161118_000314	{nl}站在丈夫瓦兒塔斯立場，為了產婦與嬰兒，當然會需要更多的糧食。
QUEST_LV_0400_20161118_000315	米由斯
QUEST_LV_0400_20161118_000316	避難處的大家都很感謝柯提斯叔叔和亞巫雷爾斯叔叔，還有聶格思。{nl}因為有他們，我們在這裡的生活才得以維持到這個程度。
QUEST_LV_0400_20161118_000317	雖然生活有稍稍好轉一些，但還是相當艱苦。{nl}如果沒有受到有力之士幫助，是無法改善的。
QUEST_LV_0400_20161118_000318	瑞爾
QUEST_LV_0400_20161118_000319	媽媽她...怕我冷，把棉被都給我蓋了。{nl}所以才會感冒的...每天都在咳嗽...
QUEST_LV_0400_20161118_000320	{nl}只要縫好帳篷，冷風就比較不會灌進來，所以我才出去尋找可以用來縫補的絲線。{nl}我在村子裡找過了，但沒有可供使用的絲線。
QUEST_LV_0400_20161118_000321	{nl}柯提斯叔叔說這邊再往上走，會有飛蛾在草地上作繭，{nl}拿那些繭來燙過，就能抽取出相當強韌的絲線。
QUEST_LV_0400_20161118_000322	我沒辦法告訴我媽媽...{nl}如果告訴她我要出來找絲線，她一定不會讓我出來的...
QUEST_LV_0400_20161118_000323	{nl}但是這也不是明智的決定...{nl}要是我有個萬一，媽媽一定會很傷心...
QUEST_LV_0400_20161118_000324	到這裡來之後，媽媽每天晚上都會做惡夢。{nl}睡覺的時候一直喊著爸爸的名字，要他不要走。
QUEST_LV_0400_20161118_000325	{nl}接著就會哭著醒過來。{nl}看媽媽這樣子，我心真的很痛。
QUEST_LV_0400_20161118_000326	我還記得媽媽跟爸爸一起坐在餐桌前吃著馬鈴薯餃的時候，{nl}讓人垂涎的餃子香...
QUEST_LV_0400_20161118_000327	{nl}父母親對著從遠處回來的孩子喊著「吃飯了」的聲音...{nl}雖然硬梆梆的，但一坐下就讓人感到安心舒適的餐桌椅子...
QUEST_LV_0400_20161118_000328	剛到這個地方的時候，真的所有一切都很茫然。{nl}所有人都很疲倦，沒有生活所需的用品，還有怪物在威脅著我們的生命安全...
QUEST_LV_0400_20161118_000329	{nl}我們能從那種生活進展到現在這個樣子，全多虧了亞巫雷爾斯的行動。
QUEST_LV_0400_20161118_000330	{nl}在食物相當稀少的時候，曾經發生糧食遭竊的事件。{nl}包含我在內，有幾個受害者。
QUEST_LV_0400_20161118_000331	{nl}受害者們摩拳擦掌地要找出犯人，我也不想要放過犯人。{nl}當知道瓦兒塔斯就是犯人的時候，受害者們都想要揍他。
QUEST_LV_0400_20161118_000332	{nl}那個時候亞巫雷爾斯拿出自己的糧食，庇護了瓦兒塔斯，{nl}並說著，如果自己的孩子沒有奶可以喝，任誰都會這樣做的...
QUEST_LV_0400_20161118_000333	{nl}接著又說，越是困難的時候，大家更應該合力克服困境，說服了大家。{nl}在他的舉動與言語薰陶之下，大家感到無限地慚愧...卻也清醒了過來。
QUEST_LV_0400_20161118_000334	{nl}大家都領悟到，在困境中只顧著守住自己的東西，是無法改善狀況的，{nl}因此，為了克服困境，大家開始合力行動。
QUEST_LV_0400_20161118_000335	{nl}這樣子行動的結果就是，雖然不豐足，但狀況卻也漸漸好轉。{nl}當時亞巫雷爾斯要是沒有出來說話，這裡說不定就沒有人住了。
QUEST_LV_0400_20161118_000336	如果沒有像聶格思這樣勇猛積極的青年，就沒有人守護這個地方不受怪物侵擾，{nl}親手建築柵欄，找出武器的也是聶格思。
QUEST_LV_0400_20161118_000337	奈格爾斯
QUEST_LV_0400_20161118_000338	因為有柯提斯叔叔，我們才能一直在這裡生活到現在。
QUEST_LV_0400_20161118_000339	看著柯提斯叔叔為大家奔波的樣子，我在想自己有沒有什麼能做的，{nl}所以一直思考要拿威脅村子的怪物們怎麼辦。
QUEST_LV_0400_20161118_000340	{nl}然後我就試著去尋找這周遭有沒有什麼可以用來當武器的東西。{nl}令人驚訝的是，我發現一個一邊角落已經塌陷的類似倉庫的地方...在那裡面有槍。
QUEST_LV_0400_20161118_000341	{nl}我把槍分給了年輕人們，讓他們保護這個村子，{nl}並且建了柵欄，讓怪物無法輕易進入。
QUEST_LV_0400_20161118_000342	{nl}不過製作柵欄的材料不足，柵欄只能做得很不結實，{nl}但還是有效果的！
QUEST_LV_0400_20161118_000343	慧樂斯
QUEST_LV_0400_20161118_000344	雖然這地方的生活已經比過去好很多了，但仍然無法放心。{nl}如果沒有獲得幫忙，這樣的生活也是會達到極限的。
QUEST_LV_0400_20161118_000345	我想到外面去尋求其他村子的幫助，卻沒辦法這麼做。{nl}除了怪物的威脅之外，最大的問題就是糧食。
QUEST_LV_0400_20161118_000346	{nl}因為我們完全無法估計我們有多深入大森林地帶裡，{nl}便無法知道要帶幾天的糧食，才能夠安全抵達其他村子。
QUEST_LV_0400_20161118_000347	得雷絲
QUEST_LV_0400_20161118_000348	農耕地又被怪物給奪走，使得糧食無法好好分配。{nl}想從怪物手中奪回農耕地，也做不到。
QUEST_LV_0400_20161118_000349	如果不拿回農耕地，一定會因為糧食而產生紛爭的。
QUEST_LV_0400_20161118_000350	帕迪亞
QUEST_LV_0400_20161118_000351	就算築起柵欄，怪物還是闖了進來，{nl}即使青年們帶著武器守護這裡，牠們照樣闖進來。
QUEST_LV_0400_20161118_000352	{nl}就連辛辛苦苦好不容易開墾出來的農耕地也被怪物給搶走了。{nl}即使拿回農耕地，那裡生產的作物數量也就那些，
QUEST_LV_0400_20161118_000353	{nl}是絕對無法填飽這裡所有難民的肚子的。{nl}如果沒有其他地方、其他人的幫助，這裡的生活一定會到達極限。
QUEST_LV_0400_20161118_000354	米雪勘森林的水因為白木的毒性而不能直接飲用。{nl}如果直接喝的話，會受腹痛折磨。
QUEST_LV_0400_20161118_000355	{nl}必須要使用蘭杜林草淨化過才能喝...但蘭杜林草也不是隨手可得之物。{nl}必須要到村子外才能取得，而村子外充斥著怪物。
QUEST_LV_0400_20161118_000356	{nl}在這裡，沒有一件事情是能輕易完成的。
QUEST_LV_0400_20161118_000357	伊娃特
QUEST_LV_0400_20161118_000358	我是有想過，為什麼他帶回來的糧食比別人多，{nl}所以我問了瓦兒塔斯，但他告訴我這是在避難處倉庫裡拿來的。
QUEST_LV_0400_20161118_000359	{nl}當時我並不知道，{nl}我丈夫為了我和新生兒成了小偷。
QUEST_LV_0400_20161118_000360	{nl}我丈夫偷竊的事情被發現之後，被所有人圍毆，那個時候是亞巫雷爾斯庇護了他。{nl}要是沒有亞巫雷爾斯，我們早就被村子裡的人給驅逐了。
QUEST_LV_0400_20161118_000361	{nl}我現在仍然對亞巫雷爾斯抱持著感恩的心。{nl}還有，對於受害的人們也覺得很抱歉...{nl}
QUEST_LV_0400_20161118_000362	瓦兒塔斯會偷東西，都是為了我和孩子，{nl}所以我不會覺得他丟臉。
QUEST_LV_0400_20161118_000363	{nl}讓他置身於不得不這麼做的狀況中的人，不就是我跟孩子嗎？
QUEST_LV_0400_20161118_000364	瓦塔斯
QUEST_LV_0400_20161118_000365	伊瓦特拖著即將臨盆的身子踏上了避難之路，一到這裡，孩子就出生了。{nl}不過這裡沒什麼糧食，每個人身上都只有一點能糊口的食物而已。
QUEST_LV_0400_20161118_000366	{nl}我們靠著這所剩無幾的糧食硬撐，但伊瓦特因為沒有好好進食，所以分泌不出奶水給孩子喝。{nl}孩子吃不飽而哭，但就是沒有食物...我真的快瘋了。
QUEST_LV_0400_20161118_000367	{nl}所以為了讓孩子和伊瓦特吃飯，我就偷了糧食...
QUEST_LV_0400_20161118_000368	{nl}然而沒過多久，我偷竊的事情就被發現了。{nl}在被大夥兒圍毆之前，是亞巫雷爾斯出面庇護了我們一家人。
QUEST_LV_0400_20161118_000369	{nl}我和大家道歉後，為了替自己犯下的過錯贖罪，所以更加積極地投入開墾工作中。
QUEST_LV_0400_20161118_000370	好不容易開墾出了農耕地，想說現在糧食終於能比較寬裕了...{nl}農耕地卻被怪物奪走了。
QUEST_LV_0400_20161118_000371	{nl}很擔心生活會不會變得更困苦啊。
QUEST_LV_0400_20161118_000372	希塔斯
QUEST_LV_0400_20161118_000373	雖然在眾人合力之下，生活維持到了現在，但不曉得何時會到達極限。
QUEST_LV_0400_20161118_000374	我當然想出去尋求協助啊，{nl}不過我們並不清楚自己位在何地，怪物又四處出沒...
QUEST_LV_0400_20161118_000375	魯帕斯
QUEST_LV_0400_20161118_000376	這邊一到晚上，會變得非常寒冷。{nl}如果不多穿一點是會凍傷的。
QUEST_LV_0400_20161118_000377	因為農耕地被怪物搶走，往後的生活沒什麼希望。
QUEST_LV_0400_20161118_000378	歐得特
QUEST_LV_0400_20161118_000379	人們都覺得只要能奪回農耕地就好了，但那可是大大失算啊。{nl}這裡的農耕地種出來的農作物是不夠的。
QUEST_LV_0400_20161118_000380	{nl}怪物們也知道村子裡有吃的，所以會一直入侵。
QUEST_LV_0400_20161118_000381	即使已經分發武器給這裡的青年們，但還是無法把怪物攆出去，{nl}因為他們不是受過專門打鬥訓練的人。
QUEST_LV_0400_20161118_000382	薩爾里亞
QUEST_LV_0400_20161118_000383	大家都這麼說，{nl}說雖然大夥兒一起努力生活到現在，但很難一直在這個地方住下去...
QUEST_LV_0400_20161118_000384	{nl}但也無法馬上離開這裡。{nl}這麼多人要離開這裡，一定需要糧食之類的，但我們手中卻沒有這些東西。
QUEST_LV_0400_20161118_000385	在這麼惡劣的生活環境中，有時候我都希望這只是一場夢。{nl}然而越是這樣期望，現在的狀況就越是分明，不免覺得辛苦。
QUEST_LV_0400_20161118_000386	丹尼爾斯
QUEST_LV_0400_20161118_000387	薩嫘雅本來的性格沒有那麼陰沉，{nl}是到了這裡才變成那樣的。
QUEST_LV_0400_20161118_000388	{nl}就算告訴她我們可以克服這種惡劣環境的，還是沒有用。
QUEST_LV_0400_20161118_000389	薩嫘雅偶爾會說在這裡的生活，就好像是一場夢，{nl}自己將要在乾淨又寬敞的溫暖床上醒過來...
QUEST_LV_0400_20161118_000390	{nl}我擔心她會繼續這樣不願意面對現實。
QUEST_LV_0400_20161118_000391	喂，你現在是想要進到裡面去嗎？{nl}那幫我一件事吧...是人命關天的急事啊。
QUEST_LV_0400_20161118_000392	{nl}拜託請幫助我！
QUEST_LV_0400_20161118_000393	謝謝你說願意幫忙...{nl}不久之前，我招募難民組成一支傭兵團，把他們送進去裡面了。{nl}不過過了好幾天，他們都沒有回來。
QUEST_LV_0400_20161118_000394	我在想那本書上的傳說應該不是憑空杜撰的，{nl}雖然不知道能找到什麼，但如果有發現不錯的東西，那我在商團裡的地位也會跟著提高...
QUEST_LV_0400_20161118_000395	傭兵海藍達
QUEST_LV_0400_20161118_000396	不行！ {nl}不行！
QUEST_LV_0400_20161118_000397	{nl}不行..
QUEST_LV_0400_20161118_000398	誰啊！ {nl}你也是來殺我的嗎？
QUEST_LV_0400_20161118_000399	{nl}是個人啊...{nl}不過你好像不是我們團員...
QUEST_LV_0400_20161118_000400	{nl}你也要小心點！{nl}那些傢伙要過來捉我們了！
QUEST_LV_0400_20161118_000401	{nl}拜託你處理一下那些怪物...{nl}拜託你了！
QUEST_LV_0400_20161118_000402	不不，都結束了...{nl}所有人都瘋了...
QUEST_LV_0400_20161118_000403	{nl}怎麼會有這種事...{nl}團長...艾德林...
QUEST_LV_0400_20161118_000404	消滅了那些傢伙？{nl}明明還有這麼多，你在說什麼啊！
QUEST_LV_0400_20161118_000405	{nl}你也是因為詛咒而產生的幻象吧...{nl}也是，這種地方怎麼會有人...
QUEST_LV_0400_20161118_000406	{nl}別管我了，往更裡面去，消失吧...{nl}求求你...
QUEST_LV_0400_20161118_000407	聖水祭司席貝卡
QUEST_LV_0400_20161118_000408	你是誰？{nl}應該不是基高傭兵團的團員...
QUEST_LV_0400_20161118_000409	{nl}是那個叫阿塔的把跟我們一樣要代替他死的人給送進來了嗎？{nl}你又是怎麼來到這裡的？
QUEST_LV_0400_20161118_000410	請快幫我找找黑蘭塔！{nl}再這樣放著不管，他會被怪物給捉走的！
QUEST_LV_0400_20161118_000411	{nl}我以後再說明。
QUEST_LV_0400_20161118_000412	怎麼可能...消失在那之間？{nl}不過，你手上拿的是什麼？
QUEST_LV_0400_20161118_000413	這是...黑蘭塔留下來的紀錄。{nl}看來受到詛咒後，會受到幻影跟幻聽的折磨，然後因為恐懼而神智不清。
QUEST_LV_0400_20161118_000414	{nl}黑蘭塔在受到詛咒影響前，留下了這樣的紀錄，真是太好了。{nl}讀這個紀錄，就能知道他最後跟團員們分散的地方在哪裡。
QUEST_LV_0400_20161118_000415	{nl}他還寫說，有生物在狩獵因為詛咒而四處分散的人，{nl}他躲開了詛咒，讓我安心了...不過，再這樣下去我也無法倖免...
QUEST_LV_0400_20161118_000416	{nl}這個生物就是外面所謂的毒妖花。{nl}為了我跟團員們的安全，你可以幫忙消滅毒妖花嗎？
QUEST_LV_0400_20161118_000417	謝謝你，{nl}我得從黑蘭塔的紀錄中，找到我的戀人和其他團員的位置。
QUEST_LV_0400_20161118_000418	我的戀人艾德林是基高傭兵團的副團長。{nl}因為擔心他，所以雖然我很懷疑，但還是為了幫他而跟他同行。
QUEST_LV_0400_20161118_000419	{nl}但完全沒想到事情會變成這樣...{nl}只要找到艾德林，我就要離開這裡，去凱都拉商團本部告發阿塔。
QUEST_LV_0400_20161118_000420	{nl}阿塔在不知情中把人給趕進死地之中。{nl}這可不是說不知情，就可以被原諒的事...
QUEST_LV_0400_20161118_000421	我屏住氣息等著你平安回來，{nl}因為怕被怪物們給發現。
QUEST_LV_0400_20161118_000422	找到黑蘭塔留下的紀錄中，他和基高團長最後分手的地方了。{nl}看他們記錄下來的地圖...從這裡再往上走，就是諾潘石柱帶周邊了。
QUEST_LV_0400_20161118_000423	{nl}基高是傭兵團的首領，跟隨他的團員一定很多！{nl}艾德林可能也在之中。
QUEST_LV_0400_20161118_000424	{nl}請找到他們，將他們帶來這裡吧，{nl}拜託你了！
QUEST_LV_0400_20161118_000425	團長基高
QUEST_LV_0400_20161118_000426	你...是誰...{nl}之前沒見過你...
QUEST_LV_0400_20161118_000427	{nl}求求你幫幫我...{nl}我被牠們攻擊了...
QUEST_LV_0400_20161118_000428	還是找不到他嗎？{nl}請盡快在他們被怪物獵捕之前找到他們吧...
QUEST_LV_0400_20161118_000429	{nl}沒有時間了！{nl}
QUEST_LV_0400_20161118_000430	拜託...拜託...求你了...{nl}幫我找出我的解毒劑...
QUEST_LV_0400_20161118_000431	{nl}其他團員...都被捉去潘卡斯石柱帶了...{nl}艾德林...也是一樣...
QUEST_LV_0400_20161118_000432	{nl}別想著那些毫無希望的傢伙...求你救救我...{nl}解毒劑...被附近的怪物給拿走了...
QUEST_LV_0400_20161118_000433	拜託.. 拜託..{nl}也救救這個國家..
QUEST_LV_0400_20161118_000434	你怎麼會自己一個人回來？{nl}艾德林呢...其他團員呢？
QUEST_LV_0400_20161118_000435	{nl}基高團長也像黑蘭塔一樣消失了啊...{nl}不過我們可以知道艾德林人在潘卡斯石柱帶了。
QUEST_LV_0400_20161118_000436	艾德林...{nl}那麼信任而追隨的團長，陷入危險之中，竟然只顧自己的性命...
QUEST_LV_0400_20161118_000437	你怎麼會自己一個人回來...為什麼！{nl}這是我送給艾德林的項鍊...
QUEST_LV_0400_20161118_000438	{nl}啊..{nl}很抱歉..
QUEST_LV_0400_20161118_000439	{nl}你冒著生命危險幫我找艾德林的行蹤...{nl}結果我還把你當出氣筒...
QUEST_LV_0400_20161118_000440	不能光是待在這裡等著回不來的人。{nl}阿塔...必須受到懲罰。
QUEST_LV_0400_20161118_000441	{nl}你別攔我！{nl}就算你攔我我也要去！
QUEST_LV_0400_20161118_000442	怎麼會變成這樣..{nl}為何..
QUEST_LV_0400_20161118_000443	{nl}要是聖水祭司本部知道這件事的話，我就完蛋了！{nl}雖然對不起團員，但我必須採取行動...
QUEST_LV_0400_20161118_000444	{nl}喂，這裡可不能再發生這種事了。{nl}你聽我說嘛！
QUEST_LV_0400_20161118_000445	照你跟賽貝卡所說，一定還有誰又留下紀錄了。{nl}我們找出那個東西會比較好...
QUEST_LV_0400_20161118_000446	{nl}雖然可能會讓你遭遇危險，但為了阻止其他犧牲者出現，我們必須找出真相！{nl}你可以去找出來嗎？
QUEST_LV_0400_20161118_000447	我在想，也許這裡不是傳說中的阿爾蘭必...{nl}這麼一來，我又成了什麼了...
QUEST_LV_0400_20161118_000448	這是...相當有用。{nl}搞不好可以掩蓋這所有的錯誤...
QUEST_LV_0400_20161118_000449	{nl}在阿爾蘭必傳說中添加這個故事，那就大致說得通了。{nl}不是嗎？
QUEST_LV_0400_20161118_000450	就算凱都拉商團是尋找「女神的安排」的集團...{nl}但其本質還是商人，他們對這裡找到的東西，一定會感興趣的...
QUEST_LV_0400_20161118_000451	{nl}而且這裡是沒人來過的地方，從怪物身上拿到的東西，也需要再多做研究...{nl}所以，你能不能幫忙消滅怪物，從牠們身上拿點什麼給我？
QUEST_LV_0400_20161118_000452	你也覺得我很世俗或是什麼機會主義者嗎？{nl}如果讓你這麼想，我也無法辯解...
QUEST_LV_0400_20161118_000453	{nl}請想成這一切都是為了防止更多犧牲者產生而做的...
QUEST_LV_0400_20161118_000454	這些鐘乳石快好像蘊含著什麼魔法，{nl}對商團研究者來說是很好的標本。
QUEST_LV_0400_20161118_000455	{nl}一定可以成為防止其他犧牲者出現的珍貴資料！
QUEST_LV_0400_20161118_000456	聽了你跟賽貝卡說的話後，我想到一件事...
