ETC_00000000_000000	語包版本 : 2020/01/01/13:39
ETC_20150317_005558	參與CBT1
ETC_20150317_005559	無姿勢
ETC_20150317_005560	運氣調息_共用
ETC_20150317_005561	時天權_總結
ETC_20150317_005562	梅花劍法_上
ETC_20150317_005563	梅花劍法_中
ETC_20150317_005564	梅花劍法_下
ETC_20150317_005565	梅花劍法_上_連續
ETC_20150317_005566	梅花劍法_中_連續
ETC_20150317_005567	梅花劍法_下_連續
ETC_20150317_005568	角色移動速度
ETC_20150317_005569	運氣調息_畫禪
ETC_20150317_005570	輕功術_畫禪
ETC_20150317_005571	測試用
ETC_20150317_005572	畫禪圖中堂
ETC_20150317_005573	迎賓館
ETC_20150317_005574	奇花靈草院
ETC_20150317_005575	山明塔
ETC_20150317_005576	培賢門
ETC_20150317_005577	寶明塔
ETC_20150317_005578	畫禪圖碼頭
ETC_20150317_005579	梅花劍閣
ETC_20150317_005580	荷澤碼頭
ETC_20150317_005581	梅香館
ETC_20150317_005582	榮華壇碼頭
ETC_20150317_005583	喜神台
ETC_20150317_005584	青莖蓮
ETC_20150317_005585	君岩池
ETC_20150317_005586	狹風谷
ETC_20150317_005587	玄風壁
ETC_20150317_005588	花園大道
ETC_20150317_005589	邑立路
ETC_20150317_005590	宋寅路
ETC_20150317_005591	畫禪主路
ETC_20150317_005592	海水林
ETC_20150317_005593	顯花區
ETC_20150317_005594	大花園
ETC_20150317_005595	小花園
ETC_20150317_005596	荷澤平
ETC_20150317_005597	賢嘉牧場
ETC_20150317_005598	空手
ETC_20150317_005599	銳劍姿態
ETC_20150317_005600	射擊
ETC_20150317_005601	頭養成
ETC_20150317_005602	頭減少
ETC_20150317_005603	雙手養成
ETC_20150317_005604	雙腳養成
ETC_20150317_005605	頭雙手雙腳養成
ETC_20150317_005606	強化破壞力
ETC_20150317_005607	增加貝拉卡拉斯的攻擊力
ETC_20150317_005608	具有活性石
ETC_20150317_005609	可以破壞抑制器！
ETC_20150317_005610	砂岩粉效果
ETC_20150317_005611	攻擊力提升
ETC_20150317_005612	我會和你在一起，沒什麼好怕的！
ETC_20150317_005613	神聖的氣息圍繞著怪物！
ETC_20150317_005614	光之霧
ETC_20150317_005615	光之霧能夠從魔族們那裡隱藏使用者。
ETC_20150317_005616	翻騰的紅焰寶石的氣息
ETC_20150317_005617	紅焰寶石爆走同時，攻擊力增加。
ETC_20150317_005618	強化的針刺花粉效果
ETC_20150317_005619	在渾濁氣息裡不會失去精神。
ETC_20150317_005620	無法辨識
ETC_20150317_005621	受到被汙染的阿哈得氣息的影響，守護者們無法分辨我軍和敵軍。
ETC_20150317_005622	自然治癒力
ETC_20150317_005623	受到淡水的效果，豬籠草的體力迅速湧上來。
ETC_20150317_005624	神經毒
ETC_20150317_005625	在怪物的體內正產生合成毒！
ETC_20150317_005626	被發現了
ETC_20150317_005627	由於閃光彈的緣故被發現了。但是馬上就會逃走吧！
ETC_20150317_005628	被煙幕彈擊中陷入混亂狀態。
ETC_20150317_005629	遭到捕縛
ETC_20150317_005630	被繩索捆綁了！
ETC_20150317_005631	羅姆巴
ETC_20150317_005632	對魔族們造成20%追加傷害！
ETC_20150317_005633	魔氣感染
ETC_20150317_005634	此怪物被魔氣感染了！
ETC_20150317_005635	分散的階段團體 Buff
ETC_20150317_005636	攻擊力增加 +150
ETC_20150317_005637	赤褐木斷層森林群體 Buff
ETC_20150317_005638	防禦力增加 +100
ETC_20150317_005639	中立
ETC_20150317_005640	中立狀態
ETC_20150317_005641	危險信號！
ETC_20150317_005642	傑斯堤就在附近！
ETC_20150317_005643	神聖化
ETC_20150317_005644	結界的力量，導致靈魂變成分離的狀態。
ETC_20150317_005645	結界正在補充！
ETC_20150317_005646	濁氣中毒
ETC_20150317_005647	受到召喚水晶中流出來的渾濁氣息影響中毒了。
ETC_20150317_005648	洗腦
ETC_20150317_005649	進行洗腦中。
ETC_20150317_005650	羅姆巴聖水的效果：不會被魔族發覺
ETC_20150317_005651	附著聖靈炸彈
ETC_20150317_005652	共用死亡
ETC_20150317_005653	聖靈束縛
ETC_20150317_005654	此魔族正被聖靈石吸收生命力！
ETC_20150317_005655	已被束縛！
ETC_20150317_005656	不祥的氣息
ETC_20150317_005657	可以看見攻擊性的傾向。
ETC_20150317_005658	瑪爾達祭壇的氣息
ETC_20150317_005659	瑪爾達祭壇的氣息包圍了魔族怪物！
ETC_20150317_005660	自信心
ETC_20150317_005661	對抗魔族變得容易了。
ETC_20150317_005662	葛洛傑查斯的力量
ETC_20150317_005663	可以令魔族皈依！
ETC_20150317_005664	矇騙眼睛
ETC_20150317_005665	無力草香氣
ETC_20150317_005666	無力草的香氣讓身體變得無力，所以移動速度變慢。
ETC_20150317_005667	炭化中
ETC_20150317_005668	正被火燃燒！
ETC_20150317_005669	樹液流失
ETC_20150317_005670	被萃取樹液中。
ETC_20150317_005671	燃燒中
ETC_20150317_005672	燃燒中！
ETC_20150317_005673	精神支配(蜥蜴人)
ETC_20150317_005674	此蜥蜴人已受到精神支配了。
ETC_20150317_005675	精神支配(因普洛博克)
ETC_20150317_005676	此因普洛博克已受到精神支配了。
ETC_20150317_005677	沾了會發出香氣的石粉。
ETC_20150317_005678	香甜的香氣
ETC_20150317_005679	發出香甜的香氣。
ETC_20150317_005680	蜂箱碎片的味道
ETC_20150317_005681	已聞過香甜的蜂箱碎片的味道。
ETC_20150317_005682	演出用石化Buff
ETC_20150317_005683	演出用死亡裝置
ETC_20150317_005684	啟動結界燭台保護膜
ETC_20150317_005685	結界燭台保護膜DeBuff
ETC_20150317_005686	持有零件
ETC_20150317_005687	持有淨化裝置零件。
ETC_20150317_005688	沾了會發出香氣的石粉
ETC_20150317_005689	沾了會發出香氣的石粉！引誘強悍的怪物。
ETC_20150317_005690	貼上傳單
ETC_20150317_005691	已貼上王國軍傳單！
ETC_20150317_005692	獲得體臭
ETC_20150317_005693	豬籠草已昏厥！
ETC_20150317_005694	廣範圍四射
ETC_20150317_005695	拼命疾走
ETC_20150317_005696	為了活下來而逃跑中
ETC_20150317_005697	洗腦確認用
ETC_20150317_005698	被洗腦
ETC_20150317_005699	祝福 - 移動速度增加
ETC_20150317_005700	獲得祝福，移動速度變快！
ETC_20150317_005701	靈魂分離
ETC_20150317_005702	樹根水晶導致怪物的核心變成分離的狀態。
ETC_20150317_005703	樹根水晶待機中
ETC_20150317_005704	發生藥效
ETC_20150317_005705	產生試驗用試劑的藥效。
ETC_20150317_005706	無法戰鬥
ETC_20150317_005707	灼熱
ETC_20150317_005708	被針刺藤蔓扎傷了。
ETC_20150317_005709	針刺毒
ETC_20150317_005710	氣流逝
ETC_20150317_005711	昏迷
ETC_20150317_005712	時間回溯
ETC_20150317_005713	時間回溯，回溯到HP、SP、STA、技能冷卻降低…等Buff獲得的時間點。
ETC_20150317_005714	時間向後重生
ETC_20150317_005715	倒轉怪物行動
ETC_20150317_005716	串連
ETC_20150317_005717	連結精神和肉體，共享傷害。
ETC_20150317_005718	精神鎖鍊
ETC_20150317_005719	連結精神和肉體，共享傷害。
ETC_20150317_005720	加入懲罰
ETC_20150317_005721	臍帶
ETC_20150317_005722	從連結體那裡可以獲得分享防禦力和HP恢復。
ETC_20150317_005723	將防禦力和HP恢復傳達給連結的個體們。
ETC_20150317_005724	靈魂防守
ETC_20150317_005725	召喚獸會代替主人受到攻擊。
ETC_20150317_005726	預測敵人的攻擊。
ETC_20150317_005727	變身
ETC_20150317_005728	變身成怪物。
ETC_20150317_005729	泰勒帕斯
ETC_20150317_005730	植物防禦
ETC_20150317_005731	大地之塔怪物
ETC_20150317_005732	獲得大地之塔的氣息。
ETC_20150317_005733	周圍昏厥
ETC_20150317_005734	5秒後周圍廣域昏厥。用治療可以清除。
ETC_20150317_005735	產生暗黑地板
ETC_20150317_005736	每5秒產生暗黑地板
ETC_20150317_005737	如果凝結起來，會很可怕吧！
ETC_20150317_005738	昏厥
ETC_20150317_005739	無法移動。被攻擊時雖然會解除，但會再多獲得10%的傷害。
ETC_20150317_005740	睡眠
ETC_20150317_005741	沉睡，無法行動，一直到受到攻擊為止都不會解開。
ETC_20150317_005742	因為冰屬性的攻擊，變成[結冰]狀態。會持續受到傷害，無法行動。
ETC_20150317_005743	被關在靜止的時空間。雖然無法行動，但是所有的攻擊會無效化。
ETC_20150317_005744	無法行動。在[石化]狀態下，傷害獲得會少50%。被攻擊時，[石化]狀態有解除的可能性。
ETC_20150317_005745	沉默
ETC_20150317_005746	無法使用基本攻擊及技能。
ETC_20150317_005747	無法區分我軍和敵軍。
ETC_20150317_005748	受到持續傷害。越是移動就越獲得更多傷害。
ETC_20150317_005749	大量出血
ETC_20150317_005750	受到比出血更嚴重的持續性傷害。越是移動就越是會受到更大的傷害。
ETC_20150317_005751	受到毒屬性持續傷害。時間經過後，[中毒]狀態會解除，但是透過解毒技能或是解毒劑也可以恢復。
ETC_20150317_005752	受到火屬性的持續傷害。
ETC_20150317_005753	HP和SP無法恢復。用治療可以解除。
ETC_20150317_005754	攻擊力弱化
ETC_20150317_005755	攻擊力減少。重疊時會更進一步減少。
ETC_20150317_005756	防禦力弱化
ETC_20150317_005757	防禦力減少。重疊時會更進一步減少。
ETC_20150317_005758	破壞盔甲
ETC_20150317_005759	防具的防禦能力暫時消失。
ETC_20150317_005760	對人類、野獸型怪物造成持續傷害，在附近如果有其它人類、野獸型怪物時，會有一定機率產生傳染。
ETC_20150317_005761	鈍化
ETC_20150317_005762	減少移動速度 50%。
ETC_20150317_005763	小型化
ETC_20150317_005764	身體變小。
ETC_20150317_005765	大型化
ETC_20150317_005766	身體變大。
ETC_20150317_005767	就像和其它串連狀態的對象成為一體一樣，會一起受到傷害。
ETC_20150317_005768	智力和精神會暫時大幅減少。
ETC_20150317_005769	暫時看不到周邊
ETC_20150317_005770	防禦能力提升。
ETC_20150317_005771	移動速度提升。
ETC_20150317_005772	攻擊能力提升。
ETC_20150317_005773	鐵甲化
ETC_20150317_005774	一定時間內，讓攻擊反射20%。
ETC_20150317_005775	衝擊吸收
ETC_20150317_005776	一定時間內，產生可以阻擋攻擊的保護膜。
ETC_20150317_005777	移動速度減少。
ETC_20150317_005778	攻擊力減少
ETC_20150317_005779	攻擊力減少。
ETC_20150317_005780	赫嘉塞露女妖的憤怒
ETC_20150317_005781	防禦力增加
ETC_20150317_005782	亞崑的憤怒
ETC_20150317_005783	黏稠
ETC_20150317_005784	受到黏稠的影響，移動速度減少了。
ETC_20150317_005785	成為憤怒狀態，防禦力增加。
ETC_20150317_005786	強化防禦力
ETC_20150317_005787	防禦力暫時增加
ETC_20150317_005788	強化移動速度
ETC_20150317_005789	移動速度暫時增加。
ETC_20150317_005790	返回
ETC_20150317_005791	水晶針刺
ETC_20150317_005792	持續恢復
ETC_20150317_005793	每10秒恢復 HP 20%
ETC_20150317_005794	防禦力極大化
ETC_20150317_005795	攻擊力極大化
ETC_20150317_005796	體力減少
ETC_20150317_005797	體力減少。
ETC_20150317_005798	動作變慢，精神力減少。
ETC_20150317_005799	毒雲
ETC_20150317_005800	持續受到傷害的狀態。
ETC_20150317_005801	毒雲。
ETC_20150317_005802	血點刺激
ETC_20150317_005803	攻擊力增加，防禦力減少。
ETC_20150317_005804	道具驚喜
ETC_20150317_005805	如果抓到，會有道具驚喜
ETC_20150317_005806	塗抹劇毒
ETC_20150317_005807	在武器上塗抹劇毒。
ETC_20150317_005808	恢復體力。
ETC_20150317_005809	死亡之眼
ETC_20150317_005810	等待死亡。無法使用技能。
ETC_20150317_005811	激怒
ETC_20150317_005812	增加攻擊力100%。{nl}對推擠、倒下效果免疫。
ETC_20150317_005813	報仇
ETC_20150317_005814	可以反擊。
ETC_20150317_005815	移動速度減少50%
ETC_20150317_005816	無法攻擊
ETC_20150317_005817	觸電
ETC_20150317_005818	防禦力減少，移動速度減少
ETC_20150317_005819	精疲力竭
ETC_20150317_005820	力量消耗完畢，必須進行休息。另外，防禦力下滑。
ETC_20150317_005821	無敵
ETC_20150317_005822	使用無敵技能中。無法攻擊怪物。
ETC_20150317_005823	庫巴斯Buff
ETC_20150317_005824	庫巴斯 ： 火焰
ETC_20150317_005825	提升庫巴斯的火屬性扺抗力。
ETC_20150317_005826	庫巴斯 ： 水
ETC_20150317_005827	提升庫巴斯的冰屬性扺抗力
ETC_20150317_005828	庫巴斯 ： 暴風雨
ETC_20150317_005829	庫巴斯的閃電屬性扺抗力提升。
ETC_20150317_005830	魔法無效化
ETC_20150317_005831	使魔法攻擊無效化
ETC_20150317_005832	物理攻擊累積
ETC_20150317_005833	每次從敵人那裡受到物理攻擊時，都會重疊。
ETC_20150317_005834	魔法攻擊累積
ETC_20150317_005835	每次從敵人那裡受到魔法攻擊時，都會重疊。
ETC_20150317_005836	鎚子衝擊
ETC_20150317_005837	獲得很大的衝擊。
ETC_20150317_005838	黏稠的泡沫
ETC_20150317_005839	火傷
ETC_20150317_005840	定期1的傷害，無法使用技能。
ETC_20150317_005841	移動速度增加範圍Buff
ETC_20150317_005842	移動速度下降Debuff
ETC_20150317_005843	擋格機率增加
ETC_20150317_005844	擋格機率增加Buff
ETC_20150317_005845	移動速度增加Buff
ETC_20150317_005846	移動速度增加Buff
ETC_20150317_005847	火牆
ETC_20150317_005848	火牆技能
ETC_20150317_005849	治療Debuff
ETC_20150317_005850	火傷Debuff
ETC_20150317_005851	治癒Debuff
ETC_20150317_005852	治癒攻擊
ETC_20150317_005853	攻擊力增加Buff
ETC_20150317_005854	攻擊力增加常數Buff
ETC_20150317_005855	攻擊力減少Debuff
ETC_20150317_005856	攻擊者Buff
ETC_20150317_005857	迴避率減少，命中率增加
ETC_20150317_005858	調換Buff
ETC_20150317_005859	將怪物的體力轉換為攻擊力
ETC_20150317_005860	投擲中
ETC_20150317_005861	投擲中
ETC_20150317_005862	持續受到火焰傷害的狀態。
ETC_20150317_005863	HP限制
ETC_20150317_005864	毒出血
ETC_20150317_005865	產生毒地區
ETC_20150317_005866	佩勒謬圖鑑
ETC_20150317_005867	擊退布貝族吧！
ETC_20150317_005868	擊退測試布貝族吧！
ETC_20150317_005869	短髮
ETC_20150317_005870	不對稱短髮
ETC_20150317_005871	蓬鬆長髮
ETC_20150317_005872	飛機頭
ETC_20150317_005873	濃密捲俏
ETC_20150317_005874	蓬鬆短髮
ETC_20150317_005875	馬尾式辮子
ETC_20150317_005876	西裝油頭
ETC_20150317_005877	雙馬尾
ETC_20150317_005878	嬰兒捲髮
ETC_20150317_005879	雷鬼辮子頭
ETC_20150317_005880	丹迪頭
ETC_20150317_005881	雙包頭
ETC_20150317_005882	短馬尾
ETC_20150317_005883	層次長髮
ETC_20150317_005884	貴族捲髮
ETC_20150317_005885	短雙馬尾
ETC_20150317_005886	陰影燙髮
ETC_20150317_005887	綁起來的長捲髮
ETC_20150317_005888	標題
ETC_20150317_005889	簡短說明
ETC_20150317_005890	說明1
ETC_20150317_005891	簡略說明
ETC_20150317_005892	詳細說明
ETC_20150317_005893	有關圖片的附加說明
ETC_20150317_005894	基本操作法
ETC_20150317_005895	移動
ETC_20150317_005896	使用方向鍵可以自由移動。
ETC_20150317_005897	方向鍵
ETC_20150317_005898	可以讓角色移動。{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40}
ETC_20150317_005899	同時使用二個方向鍵可以進行對角線移動。{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40}
ETC_20150317_005900	{nl} {nl}如果令角色移動，會消耗耐力。
ETC_20150317_005901	使用跳躍之後，可以跳過較低的障礙物或是爬上高處。
ETC_20150317_005902	使用{img X 40 40}鍵可以跳躍。
ETC_20150317_005903	可以攻擊範圍內的敵人給予傷害。
ETC_20150317_005904	使用{img Z 40 40}鍵，可以按角色別進行基本攻擊。
ETC_20150317_005905	連按{img Z 40 40}鍵或是持續按住，可以進行連續攻擊。
ETC_20150317_005906	{nl} {nl}使用{img Ctrl 40 40}鍵後，可以固定目標。
ETC_20150317_005907	{nl} {nl}使用{img Alt 40 40}鍵後，在移動中可以讓角色立刻停住。
ETC_20150317_005908	使用{img SPACE_BIG 60 40}鍵，可以立刻望向現在目標。
ETC_20150317_005909	使用地圖，可以確認目前自己的位置和主要地區。
ETC_20150317_005910	使用{img M 40 40}鍵，可以確認目前所處地區的地圖。{nl} {nl}
ETC_20150317_005911	{nl} {nl}迷你地圖圖示會標示目前所在地區的情報{nl}或是NPC。{nl}{img minimap_leader 25 25} ： 顯示目前玩家位置的圖示。{nl}{img minimap_1_MAIN 25 25} ： 顯示目前進行中任務的目標地點。{nl}{img minimap_0 25 25} ： 顯示目前地區重要NPC的位置。{nl}{img minimap_goddess 25 25} ： 顯示目前地區的傳點裝置。{nl}{img minimap_board 25 25} ： 顯示目前地區有重要情報的佈告欄。{nl}{img minimap_portal 25 25} ： 顯示可以移動至其它地區的通道。{nl} {nl}
ETC_20150317_005912	沒去過的地區在地圖上不會看到該地形。
ETC_20150317_005913	完成探勘的地區在地圖上會標示該地形。
ETC_20150317_005914	使用{img N 40 40}鍵可以確認世界地圖。{nl}還沒有拜訪的地區不會標示在世界地圖上。只要是拜訪過一次的地區，就會在世界地圖上活性化。
ETC_20150317_005915	活性化的地區，將滑鼠移過去可以確認該地區的地圖。
ETC_20150317_005916	基本情報
ETC_20150317_005917	背包
ETC_20150317_005918	透過背包可以確認裝備中或是持有中的道具和所擁有的財物、重量。
ETC_20150317_005919	使用{img F2 40 40}鍵，可以使用背包窗。
ETC_20150317_005920	{nl} {nl}背包窗上方是目前角色在各部上配戴中的裝備{nl} {nl}
ETC_20150317_005921	{nl} {nl}下面是目前放到背包裡的道具。{nl}背包裡的道具會按種類標示。{nl} {nl}
ETC_20150317_005922	{nl} {nl}最下方可以看到背包的道具重量組合和持有的獎牌、銀幣。{nl} {nl}
ETC_20150317_005923	透過任務窗可以確認目前可執行的任務情報。
ETC_20150317_005924	使用{img F5 40 40}鍵，可以確認目前執行中的任務目錄。 {nl} {nl}
ETC_20150317_005925	{nl} {nl}標示任務進行狀態{nl} {img minimap_1_MAIN 24 24} ： 可以開始主線任務{nl} {img minimap_2_MAIN 24 24} ： 主線任務進行中{nl} {img minimap_3_MAIN 24 24} ： 主線任務完成待機{nl} {img minimap_1_SUB 24 24} ： 可以開始副線任務{nl} {img minimap_2_SUB 24 24} ： 副線任務進行中{nl} {img minimap_3_SUB 24 24} ： 副線任務完成待機{nl} {nl}
ETC_20150317_005926	選擇想了解的任務目錄後，可以確認詳細情報。
ETC_20150317_005927	放棄按鈕活性化的任務
ETC_20150317_005928	可以做。{nl} {nl}
ETC_20150317_005929	已放棄的任務
ETC_20150317_005930	可以在上方分頁確認。{nl} {nl}
ETC_20150317_005931	重新開始
ETC_20150317_005932	，按下該鍵，可以立刻開始放棄的任務。{nl} {nl}
ETC_20150317_005933	透過技能窗可以管理角色的技能。
ETC_20150317_005934	使用{img F3 40 40}鍵，可以使用技能視窗。
ETC_20150317_005935	點擊{img skillup 40 40}鈕，可以提升技能等級。
ETC_20150317_005936	提升技能等級後按下套用，技能等級就可以提升。
ETC_20150317_005937	提升等級的技能已追加在欄位上。
ETC_20150317_005938	從大師NPC那裡學習特性，可以讓角色成長的更強。
ETC_20150317_005939	可以透過各職業大師NPC學習特性。
ETC_20150317_005940	{nl} {nl}要學習特性，需要適當的銀幣。而且以各特性別完成學習，會需要時間{nl} {nl}
ETC_20150317_005941	特別必須學習完成才可以使用。
ETC_20150317_005942	{nl} {nl}開始學習的特性會自動登錄，在學習特性的期間，無法學習其它的特性。{nl} {nl}
ETC_20150317_005943	{nl} {nl}完成學習的特性可以在技能窗下面的特性目錄上確認。{nl} {nl}
ETC_20150317_005944	{nl} {nl}特性配合狀況，可以開啟或關掉。{nl} {nl}
ETC_20150317_005945	冒險日誌
ETC_20150317_005946	透過冒險日誌可以確認遊戲進行度或是角色排名。
ETC_20150317_005947	使用{img F4 40 40}鍵，可以使用冒險日誌窗。
ETC_20150317_005948	{nl} {nl}透過冒險日誌的各目錄別，可以確認更新角色的點數。{nl} {nl}
ETC_20150317_005949	冒險日誌的達成獎勵在位於都市的
ETC_20150317_005950	巴伊寶拉之翼
ETC_20150317_005951	可以從NPC那裡獲得。
ETC_20150317_005952	可以和其它玩家一起組隊進行遊戲。
ETC_20150317_005953	走近想一起組隊的角色，然後點擊滑鼠右鍵後，選擇
ETC_20150317_005954	組隊邀請
ETC_20150317_005955	就可以在組隊上創建隊伍。
ETC_20150317_005956	創建隊伍只有在沒所屬隊伍時才可以創建。{nl}對方同意組隊邀請後，就會和邀請一起自動創建隊伍。
ETC_20150317_005957	被邀請組隊的角色情報，右鍵點擊左上方的組隊成員肖像畫之後，可以透過
ETC_20150317_005958	組隊情報
ETC_20150317_005959	確認
ETC_20150317_005960	或是可以使用快捷鍵{img F6 25 25}鍵迅速地確認。
ETC_20150317_005961	組隊情報的
ETC_20150317_005962	分頁上，可以更有效的管理組隊。
ETC_20150317_005963	可以設定隊伍加入條件和道具分配規則、經驗值分配規則、任務共有。
ETC_20150317_005964	點擊組隊成員們的肖像畫，可以管理組隊成員們。
ETC_20150317_005965	如果想要離開組隊，
ETC_20150317_005966	，選擇這個可以離開組隊。
ETC_20150317_005967	戰鬥
ETC_20150317_005968	怪物情報
ETC_20150317_005969	眺望怪物或是靠近之後，可以確認怪物資訊視窗。
ETC_20150317_005970	在怪物資訊視窗上可以確認該怪物的等級和名稱、體力狀況。
ETC_20150317_005971	特定職業可以額外確認怪物的情報。
ETC_20150317_005972	消耗的HP/SP/耐力可以透過下面功能回復。
ETC_20150317_005973	[自然回復] ：
ETC_20150317_005974	以屬性為基準
ETC_20150317_005975	體力回復速度
ETC_20150317_005976	於此比例恢復
ETC_20150317_005977	自然回復相較其它回復方法顯得回復較慢，但是不需要其它的操作或是條件。
ETC_20150317_005978	[藥水回復] ： 隨著使用的藥水，立即恢復HP/SP/耐力。
ETC_20150317_005979	使用藥水時，會有冷卻時間。
ETC_20150317_005980	[破壞樹根水晶] ： 破壞樹根水晶後，可以回復耐力。
ETC_20150317_005981	樹根水晶會隨機出現在野外各地。
ETC_20150317_005982	[活用休息模式] ： 在休息模式上額外使用營火後，可以更快速地恢復。
ETC_20150317_005983	休息模式時，雖然回復會比自然回復更快，但是點燃營火後會回復得更快速。
ETC_20150317_005984	以強力的最後攻擊消滅怪物後，會發動過度傷害。
ETC_20150317_005985	因為角色強力的攻擊技能，給怪物的傷害比怪物剩餘的HP還要多的時候，就會發動過度傷害。
ETC_20150317_005986	破壞樹根水晶後，可以恢復耐力。
ETC_20150317_005987	在野外各地都可以找到樹根水晶。
ETC_20150317_005988	破壞樹根水晶後，可回復周圍所有玩家的耐力。
ETC_20150317_005989	過度打擊
ETC_20150317_005990	特定技能以連續一定次數以上使用後，就會發動過度打擊。
ETC_20150317_005991	過度打擊發動之後，該技能會產生冷卻時間，並暫時無法使用。
ETC_20150317_005992	圖示下方的量條補充好後，會發生過度打擊。
ETC_20150317_005993	為避免過度打擊發生，混用可使用的技能後，可以 強力的攻擊。
ETC_20150317_005994	使用多數的技能可以抑制過度打擊發生。
ETC_20150317_005995	過度打擊發生後，在一定時間內無法使用該技能。
ETC_20150317_005996	經過一定時間之後，該技能的使用次數會再次重置。
ETC_20150317_005997	製作道具
ETC_20150317_005998	學習製作製作書之後，可以製作有用的道具。
ETC_20150317_005999	獲得之後，將會自動被新增到可以製作的目錄內。
ETC_20150317_006000	製作書可以透過消滅怪物或是向商人購買、任務獎勵。
ETC_20150317_006001	為了開始{nl} {nl}製作，請按下{img insert 40 40}按鍵而切換成休息模式之後，
ETC_20150317_006002	再按下按鍵即可開始。
ETC_20150317_006003	先準備足夠的道具製作材料才能進行製作。
ETC_20150317_006004	背包內有足夠的道具製作材料的話，在休息模式之下，
ETC_20150317_006005	按下按鍵就可以開始製作道具。
ETC_20150317_006006	完成製作後，製作好的道具會放到背包裡。
ETC_20150317_006007	使用商店
ETC_20150317_006008	可以向商人NPC購買或是販賣物品。
ETC_20150317_006009	如果在城市和野外旅行時，可以找到商人NPC。
ETC_20150317_006010	請尋找位於安全地區的商人NPC吧。{nl} {nl}
ETC_20150317_006011	透過下面的道具交易窗可以和NPC交易道具。{nl} {nl}[購買] ： 滑鼠右鍵點擊想購買的道具，決定好種類和數量之後結算{nl}[販賣] ： 以滑鼠右鍵點擊背包裡想販賣的道具，決定好種類和數量之後結算{nl} {nl}
ETC_20150317_006012	按住{img Shift 45 45}鍵並點擊滑鼠右鍵，能一次交易許多的數量。{nl} {nl}
ETC_20150317_006013	販賣給商店的道具可以重新買進。
ETC_20150317_006014	{nl} {nl}不小心販賣掉的道具，點擊滑鼠右鍵可以將販賣掉的道具重新買進。{nl} {nl}
ETC_20150317_006015	分配狀態點數
ETC_20150317_006016	使用透過升級獲得到的狀態點數，可以使角色的能力值成長。
ETC_20150317_006017	使用{img F1 40 40}鍵開啟角色資訊視窗後，可以確認角色屬性情報。
ETC_20150317_006018	將屬性點數投資在力量/體力/智力/精神/敏捷上，可以讓角色成長。{nl} {nl}  力量：增加物理攻擊力、暴擊攻擊力{nl} {nl}體力 ： 增加最大HP、HP恢復力、擋格、暴擊抵抗、 持有限制重量{nl} {nl}智力 ： 增加魔法攻擊力、擋格貫穿{nl} {nl}精神：增加最大SP、SP恢復力{nl} {nl}敏捷 ： 增加命中、迴避、暴擊發生機率{nl}
ETC_20150317_006020	在狀態上投資點數，可以讓該狀態成長。
ETC_20150317_006021	在分頁上可以立即確認
ETC_20150317_006022	便利功能
ETC_20150317_006023	使用傳送功能之後，可以快速地移動到所想要的地區。
ETC_20150317_006024	如果使大都市的
ETC_20150317_006025	女神像
ETC_20150317_006026	或是
ETC_20150317_006027	，如果使活化這個，可以從其它地區傳送至該地區。
ETC_20150317_006028	為讓女神像活化，必須要靠近女神像周邊。
ETC_20150317_006029	利用瓦卡麗涅女神像可以快速移動至已活性化的女神像所在地區。
ETC_20150317_006030	使用傳送卷軸後，可以立刻使用傳送功能。
ETC_20150317_006031	能夠以傳送卷軸移動的地區僅限於已活性化的女神像所在地區。
ETC_20150317_006032	再次使用傳送卷軸後，可以快速返回至最後使用傳送卷軸的場所。
ETC_20150317_006033	傳送卷軸可以在商店或是任務獎勵上獲得。
ETC_20150317_006034	如果使用返回按鈕，可以輕鬆完成任務。
ETC_20150317_006035	完成任務後，按鈕會在指令窗UI上
ETC_20150317_006036	活性化。
ETC_20150317_006037	返回按鈕
ETC_20150317_006038	({img questinfo_return 40 40})點擊該後，可以瞬間移動至完成 NPC所在的地區。
ETC_20150317_006039	或是快捷鍵
ETC_20150317_006040	Backspace
ETC_20150317_006041	鍵，即使使用該鍵
ETC_20150317_006042	，可以使用。
ETC_20150317_006043	野外活動
ETC_20150317_006044	如果膜拜女神像，可以得到增益的效果。
ETC_20150317_006045	如果膜拜女神像，每個女神像會都給予增益的效果。
ETC_20150317_006046	在世界各地區所遺留下的女神像全都擁有特別的力量。
ETC_20150317_006047	，使用這個之後，可以使用地區之間的傳送功能。
ETC_20150317_006048	要使用傳送功能，該地區的
ETC_20150317_006049	必須要活性化。
ETC_20150317_006050	，可以從那裡獲得角色的狀態點數。
ETC_20150317_006051	寶箱
ETC_20150317_006052	，可以從那裡獲得特別的道具。
ETC_20150317_006053	可以找到隱藏在野外各地的
ETC_20150317_006054	，無法找到。
ETC_20150317_006055	寶箱有各種階段，可以獲得特別的道具。
ETC_20150317_006056	1階段寶箱沒有特別條件，只要靠近寶箱按下{img SPACE 40 40}鍵，就可以獲得獎勵。
ETC_20150317_006057	2階段寶箱開始，必須要使用符合寶箱階段的鑰匙才可以開啟。
ETC_20150317_006058	的鑰匙，只有透過任務進行才可以獲得。
ETC_20150317_006059	強化裝備
