QUEST_00000000_000000	UTF-8-DOM問題迴避用
QUEST_20150729_002381	 但是蒙德斯塔斯打賭的代價就只有一個，那就是要回答出柯拉佩達的女神像到底是誰。{nl}很多人為了取得這個問題的答案而向蒙德斯塔斯挑戰，{nl}
QUEST_20150729_002382	但這個不可能的條件讓蒙德斯塔斯在打賭裡永遠不會輸。{nl} 因此，歲月就在無法從蒙德斯塔斯那裡解開女神像的疑問中流逝。{nl}
QUEST_20150729_002383	 因此，只有蒙德斯塔斯知道的女神像秘密，是在他過世後，人們才從他的遺言得知答案，{nl}女神像就是主管所有事物的女神們的主神奧施莉奈。{nl}
QUEST_20150729_002384	 結果，奧施莉奈女神將一位人生充滿賭局的柯拉佩達賭徒，變身成為充滿趣味猜謎的人生做為禮物，並在柯拉佩達留下一座美麗女神像，也在世界上留下膾炙人口的故事。
QUEST_20150730_002385	咒術人偶
QUEST_20150730_002386	守墓人的咒術人偶已經解除了這個結界！
QUEST_20150803_002387	需要與箱子相符的鑰匙。
QUEST_20150803_002388	又頭痛了… 天啊我的頭。不用擔心我，就回去吧。{nl}啊，漂亮的花都開了。
QUEST_20150803_002389	所謂永生… {nl}我是靠著奧施莉奈女神的權能來維持生命。{nl}
QUEST_20150803_002390	每當豎立起引領靈魂的貓頭鷹雕像時，死亡就會離我越來越遠。{nl}只要這個老朽的身軀可以成為女神的力量並對世界有所幫助的話，無論多久我都願意去做。
QUEST_20150803_002391	你也對永生有興趣嗎？{nl}我們死靈法師掌管死者，反過來想想就簡單許多了。{nl}
QUEST_20150803_002392	我的程度只要吸收生命力後，就可以延長壽命了。{nl}但也有禁忌，那就是人類。
QUEST_20150803_002393	你好像對於我維持永生的方法很有興趣的樣子！{nl}假如時間暫停也是一種永遠的話，那就可以說是永生了。{nl}
QUEST_20150803_002394	我是以靠著暫停身體的時間來維持不會老也不會死亡的狀態，{nl}就不知道像這樣暫時停止的事情能不能被視為是永遠了。
QUEST_20150803_002395	你現在在做什麼?
QUEST_20150803_002396	等一下，用單眼鏡探索看看。
QUEST_20150803_002397	單眼鏡可以探索特別的力量，在那邊。
QUEST_20150803_002398	這裡有管理大地要塞的管理員，如果想前往其他區域的話就需要證明書。
QUEST_20150803_002399	留張紙條讓我也能製作證明書。
QUEST_20150803_002400	當人類的貪念跟傲慢達到巔峰時，就喚醒了沉睡在地底的神聖樹木，{nl}醒來的樹木以它神聖之名懲罰傲慢的人並奪走所有的東西。
QUEST_20150804_002401	並沒有寫下任何東西。
QUEST_20150908_002402	獲得樹叢
QUEST_20150918_002403	今天沒有能夠進行的委託。
QUEST_20150918_002404	只有對你來說會很吃力的委託，{nl}下次再來找吧。
QUEST_20150918_002405	廢墟遺跡地
QUEST_20150918_002406	前往廢墟遺跡地(建議等級:90)，只有你和你的組隊隊員可以進入。{nl}要進入嗎?
QUEST_20150918_002407	沒錯。最奇怪的事情就是拉伊瑪女神了，{nl}何時消失沒有人知道，老實說是不是真正存在的女神也沒人知道。{nl}
QUEST_20150918_002408	不管世界變得多麼糟糕，但我們的士兵會在這裡死守到底。{nl}我們也沒有辦法負責危險的行動，請務必小心。
QUEST_20150918_002409	歡迎你來。烏斯卡在柯拉佩達中央廣場裡等待啟示者。{nl}對了，你還有尚未熟知的事項嗎？
QUEST_20150918_002410	然而這個是拉伊瑪所看重的我的試煉跟使命… {nl}要給你拉伊瑪的傳言。{nl}
QUEST_20150918_002411	歡迎光臨！ 需要些什麼嗎？{nl}物品不像以前一樣，但也會盡全力準備齊全。
QUEST_20150918_002412	不久前聽說了啟示者出現拯救魔法師之塔的故事，{nl}就連魔法師之塔都遭受攻擊的話，佩迪米安該怎麼辦… 真的太好了。{nl}來，不管何時都輕鬆地看看吧。
QUEST_20150918_002413	以前的佩迪米安因為朝聖者的關係是門庭若市。{nl}聽說某位啟示者守護了大教堂，馬上就會回到熱鬧的日子了吧？{nl}來，你在找什麼物品呢？
QUEST_20150918_002414	紅色頭髮的魔法師找到了可以拯救魔法師之塔的啟示者了，{nl}大師也挺多的嘛！ 最後終於拯救了魔法師之塔啊！我真的覺得很厲害…{nl}不管怎樣，看看是免費的，就到處看看吧。
QUEST_20150918_002415	很厲害吧? 我說的是守護大教堂的啟示者啊。{nl}雖然現在是辛苦的時期，也絕對不漲價。慢慢看吧。
QUEST_20150918_002416	有聽說傳聞嗎? 說道魔法師之塔啊，{nl}那個，有位啟示者在那裡消滅了魔君主呢？{nl}父親如果還在的話，一定會為了紀念而降價的。
QUEST_20150918_002417	佩迪米安的人們是依照梅伊班的教誨而生活的，{nl}但是魔君主玷汙了教誨… 啟示者會代替女神降罪於它們的。{nl}來，需要給你看看什麼嗎？{nl}
QUEST_20150918_002418	聽說某位啟示者拯救了魔法師之塔。{nl}現在佩迪米安可以安心了吧？{nl}不管怎樣，不知道有沒有可以幫助您的物品，就仔細地看看吧。
QUEST_20150918_002419	佩迪米安所有的人對啟示者們有很大的期待，{nl}某位啟示者打敗佔領大教堂的魔君主的消息已經傳開了。{nl}不管怎樣，你也不一定要買東西，就安心地看吧。
QUEST_20150918_002420	那邊草堆裡面好像有什麼東西。
QUEST_20150918_002421	即使死去，她也要找的東西到底是什麼。{nl}反正一定是悲傷的故事沒錯。
QUEST_20150918_002422	還有箭離開了弓弦。{nl}失憶的兄弟姐妹們拿著鈍器捶打睡著的迪翁，而我…{nl}全部 {nl}再也沒看過說著一定要成為祭司時眼睛閃著光芒的樣子。{nl}
QUEST_20150918_002423	據說每個女神像依據每個女神而擁有不同的特殊能力，{nl}像是澤米娜女神可以給予祝福培養所需的技能。{nl}
QUEST_20150918_002424	但是奇怪的是那個柯拉佩達的奧施莉奈女神像，{nl}雖然不是瓦卡麗涅女神，但卻可以送你去想去的地方。
QUEST_20150918_002425	很危險，請快點下來。{nl}那裡什麼都沒有啦。
QUEST_20150918_002426	完全感受不到魔力。
QUEST_20150918_002427	現在全是空的。
QUEST_20150918_002428	聖堂地下城
QUEST_20150918_002429	前往聖堂地下城(建議等級:50)，只有你和你的組隊隊員可以進入。{nl}要進入嗎？
QUEST_20150918_002430	衰弱的勒肯家族地下城
QUEST_20150918_002431	前往衰弱的勒肯家族地下城(建議等級:132)，只有你和你的組隊隊員可以進入。{nl}要進入嗎？
QUEST_20150918_002432	大魔法師之塔地下城
QUEST_20150918_002433	前往大魔法師之塔地下城(建議等級:190)，只有你和你的組隊隊員可以進入。{nl}要進入嗎？
QUEST_20150918_002434	地下墓穴地下城
QUEST_20150918_002435	前往地下墓穴地下城(建議等級:200)，只有你和你的組隊隊員可以進入。{nl}要進入嗎？
QUEST_20150918_002436	父親太忙所以我代替他看店。{nl}雖然比不上父親，但也能正確結帳。
QUEST_20150918_002437	請慢慢看吧！{nl}雖然有點凌亂，但也有很多物品在等待著主人呢。
QUEST_20150918_002438	倉庫管理員紫檀
QUEST_20150918_002439	歡迎光臨。還是很凌亂吧？{nl}我們還在努力復原中，希望你能諒解。{nl}想要我替你保管什麼東西嗎？
QUEST_20150918_002440	原本的佩迪米安是以銀工藝品聞名的都市。{nl}雖然都市尚在復原中，但仍具備一定的實力。
QUEST_20150918_002441	這個地方瘋了。{nl}為了除掉這個受詛咒的樹根水晶，就只能放火燒掉它而已。{nl}一定要點火。需要很大的火…
QUEST_20150918_002442	那邊好像可以看到女神像的頭。
QUEST_20150918_002443	那邊有箱子。要過去看看嗎？
QUEST_20150918_002444	去那邊的木桶看看吧？
QUEST_20150918_002445	那邊好像有女神像的翅膀。
QUEST_20150918_002446	哎呀？ 這裡要怎麼上去？
QUEST_20151001_002447	真驚人！{nl}這個明明就是數百年前製作的東西…{nl}好像在望著現在的你說話的樣子。{nl}
QUEST_20151001_002448	但是完全感受不到邪惡的力量或意志，{nl}這樣的話，這個啟示真的是拉伊瑪女神的… 原來如此。{nl}
QUEST_20151001_002449	更驚人的是叫做救世者的存在。{nl}
QUEST_20151001_002450	這麼多啟示者中，能拯救這世界和女神的存在…{nl}分明你就是被稱為救世者的存在。{nl}
QUEST_20151001_002451	但是最好避免全世界都知道，{nl}如果你不想要所有魔族都為了找你而四處徘徊的話。{nl}
QUEST_20151001_002452	有關救世者的事情，我想要提的事情並不是啟示所希望的。{nl}來，快回到烏斯卡身邊。{nl}
QUEST_20151001_002453	如果是那位的話，應該會跟你說到底要前往哪個地方。{nl}願女神的祝福未來與既是啟示者又是救世者的你同在…
QUEST_20151001_002454	傳達員利安
QUEST_20151001_002455	在尋找怎樣的委託呢？
QUEST_20151001_002456	請和值得信賴的同伴一起。
QUEST_20151001_002457	沒有適合的委託，{nl}請下次再來。
QUEST_20151001_002458	你有還進行中的委託呢！{nl}請等委託結束之後再過來。
QUEST_20151001_002459	委託只有隊長可以接受。
QUEST_20151001_002460	莿棘藤蔓森林
QUEST_20151001_002461	前往莿棘藤蔓森林(建議等級:175)，只有你和你的組隊隊員可以進入。{nl}要進入嗎？
QUEST_20151001_002462	因為那個災厄，真的很多人回到了女神的懷抱。{nl}乖巧的怪物們也變得兇暴，也不斷有新怪物也出現。{nl}
QUEST_20151001_002463	我認為最好的武器和防具，就是長時間省著用也還是很好用就是最好的。想要辦到這一點，就該先購買好的物品。
QUEST_20151001_002464	我販賣的物品無論是價格或品質都不差。
QUEST_20151001_002465	拜烏斯卡的招募公告所賜，增加很多客人。{nl}不要有負擔地慢慢逛。
QUEST_20151001_002466	烏斯卡親自回去柯拉佩達看看的時候是最好的。
QUEST_20151001_002467	知性。冷靜的判斷力。冷靜的理性。對我們寒冰法師來說要求的就是資質而已，{nl}這是即使世界如何變化也不會變的鐵則。
QUEST_20151001_002468	如果只是追求勇猛的話，那盡頭就只是虛妄的死亡而已。{nl}身為啟示者，如果想要拯救世界的話，就給你輕裝步兵的盾牌吧。
QUEST_20151001_002469	聽說都市外面有成群結隊的怪物們出沒。{nl}與其愚蠢第一隻隻殺掉，還不如學習我的技術會比較好。
QUEST_20151001_002470	現在馬上就要啟動我的特製裝置。{nl}如果跟著我的話，你也可以進入魔法師之塔。{nl}
QUEST_20151001_002471	侵入別人的塔後，又拿了別人物品的愚蠢盜賊被火燒死了。{nl}然而他的碑石只不過是為了用來警告入侵者而留下來的碑文。{nl}-亞佳伊拉弗羅里-
QUEST_20151001_002472	大地要塞被攻陷後，露克立斯將軍也戰死了。{nl}聽說他是因為利迪亞夏班的箭而死亡，也聽說是遭遇王室魔法師的魔法而死亡，傳聞有好幾種版本，雖然不知道事實為何，但他的確是死了的樣子。{nl}天空像是傾倒般…
QUEST_20151001_002473	沒有任何希望了。啊啊… 親愛的利德爾，{nl}王國軍沒有遵守約定。我們全都會死掉。{nl}
QUEST_20151001_002474	即使世界毀滅了，人還是會活著。{nl}只要有信任的寵物和盡到該做的事情都做到了，只要有想贏的心就可以了。
QUEST_20151001_002475	然而這個是拉伊瑪所看重的我的試煉跟使命… {nl}要給你拉伊瑪的傳言。{nl}
QUEST_20151001_002476	如果有合理代價的話，當然。怎麼可能阻擋想要學我技術的人呢？{nl}反而是非常歡迎呢。並不是一邊跟著做一邊學。
QUEST_20151001_002477	某位啟示者消滅了水晶礦山的魔族，{nl}真不虧是久違了的好消息啊。{nl}來來！ 慢慢觀看啊。
QUEST_20151001_002478	聽到泰內聖堂消息了嗎？{nl}這樣搞不好真的是啟示者來尋找女神了。{nl}託你的福，我也做點生意。
QUEST_20151001_002479	啟示者來之後就聽到很多好的消息，真的心情很好。{nl}因為不知道世界會如何，我一直都很憂鬱。啊，慢慢看啊。
QUEST_20151001_002480	多虧了某個啟示者，水晶礦山說不定馬上就會重新開啟了。{nl}來，看看不用錢，你就慢慢逛吧。
QUEST_20151001_002481	有聽說了水晶礦山的故事嗎？{nl}某位啟示者消滅了那個可怕的魔君主，真的非常厲害的樣子。{nl}來，不要客氣慢慢看。
QUEST_20151001_002482	事實上我在泰內聖堂裡等待女神的啟示，似乎沒有的樣子。{nl}就算這樣啟示者也一定會來吧？{nl}所以我在這麼艱辛的時期也沒有漲價。請確認看看。
QUEST_20151001_002483	水晶礦山要在開放的消息，這是聽到最讓人開心的消息了。{nl}我本來以為明天或後天世界就要滅亡了呢。{nl}那裡，我可以幫你看看那些裝備會比較好呢？
QUEST_20151001_002484	拯救泰內聖堂的啟示者… 因為我們氣味相投，所以決定幫你免費修理。{nl}但因為有些不如意的事情而非常難過。
QUEST_20151001_002485	啟示者能將水晶礦山從魔族手裡奪回來，真是太厲害了。{nl}應該是我們輕裝步兵要出面做的事情，真的太羞愧了。
QUEST_20151001_002486	聖殿十字軍大師向我們輕裝步兵請求幫忙也可以…{nl}這樣的話，就不會放過那個魔王了。
QUEST_20151001_002487	水晶礦山被誰救了的事情，對我來說一點都不重要。{nl}他是寒冰法師嗎？還是不是？ 不是烈焰法師就好了。
QUEST_20151001_002488	拯救了泰內聖堂… 但是女神也不在那裡嗎？ {nl}真令人痛心。大家都那麼盼望著女神。
QUEST_20151001_002489	竟然是水晶礦山啊，雖然不知道是哪位啟示者，也終於有件事做到了。{nl}現在只要找出女神就可以了吧？{nl}
QUEST_20151001_002490	泰內聖堂在神樹之日也平安無事，但卻變成魔族巢穴真的太可惜了。{nl}但這也是件好事。這不是從現在重新開始就可以的事情嗎？
QUEST_20151001_002491	大師出面也沒辦法完成的事情，啟示者既然解決了，真是羞愧。{nl}不是自卑請不要誤會。
QUEST_20151001_002492	我聽說了泰內聖堂的事，真的很厲害呢。{nl}所有柯拉佩達的人對於啟示者的期待都越來越大了。知道吧？
QUEST_20151001_002493	神樹之日的時候我沒有辦法拯救首都全部的人，{nl}但某位啟示者卻拯救了礦山村莊的所有人。真的太厲害了。
QUEST_20151001_002494	泰內聖堂。我和那個看守者很熟，{nl}世界這麼的危險，雖然勸他搬到柯拉佩達，但他好像更喜歡凱利高原。{nl}多虧啟示者，全部都順利解決了。
QUEST_20151001_002495	我想要針對第一任聖殿十字軍大師在凱利高原裡製作並留下的神聖力量進行詳細的研究，{nl}運用那個力量的話，說不定就可以找出拯救王國的方法。
QUEST_20151001_002496	果然讓布貝在水晶礦山出沒的元兇就是魔君主，{nl}但是為什麼要抓走村莊人民們呢？ 你知道些什麼嗎？
QUEST_20151001_002497	真的不敢相信，水晶礦山的坎寧安傳說是真的嗎？ {nl}這樣的話，那位少女現在在哪裡。
QUEST_20151001_002498	老實說第一次看到啟示者們的時候，想說會不會是魔族的把戲…{nl}但是竟然泰內聖堂給搶了回來，現在就真的相信說不定是真的來拯救世界的。
QUEST_20151001_002499	水晶礦山的事情我也聽說了，{nl}啟示者是女神送來的使者絕對沒有錯。
QUEST_20151001_002500	竟然能從魔族的手裡奪回泰內聖堂，不知道是多麼開心的事情。{nl}但是還有很長的路要走。沒有積極地出來面對，真的覺得非常羞愧。
QUEST_20151001_002501	女神不管何時都是勝利的，{nl}在水晶礦山的魔君主米爾堤斯被啟示者消滅就是證據。
QUEST_20151001_002502	雖然就算女神們不在，但我們也對於可以獲得勝利而深信不疑。{nl}守護泰內聖堂的啟示者就是證據。
QUEST_20151001_002503	原本大家都知道坎寧安的傳說只是故事，{nl}但是水晶礦山的魔君主真的出現後，該說那個少女到底是什麼呢…
QUEST_20151001_002504	我和聖殿十字軍大師認識很久了，{nl}那位朋友的煩惱也相當多… 你真的做了很了不起的事。
QUEST_20151001_002505	水晶礦山是苦難的開始，{nl}但也是你需要背負的神聖使命。{nl}
QUEST_20151001_002506	你，在大地逐漸死亡並有無數星辰掉落在地平線的時候…{nl}將站在無限的誕生和死亡所連成的線上的就是求道者。
QUEST_20151001_002507	在紀錄歷史裡拉伊瑪女神幾乎沒有呈現完整面貌的紀錄，{nl}還有在那悠長的歲月裡製造啟示… 並等待著你。
QUEST_20151001_002508	厲害。我聽說了某位啟示者消滅水晶礦山的魔君主的消息。{nl}但是比起這個坎寧安的傳說是事實這件事真是令人驚訝。
QUEST_20151001_002509	在聽到你守護了泰內聖堂的消息時，我有了很多想法。{nl}這所有的災厄也許只是為了連我們都無法想像的大事在做準備吧…
QUEST_20151001_002510	雖然不知道是誰，但啟示者消滅了水晶礦山的魔君主，真的很厲害。{nl}現在期待著希望再也不是種奢侈了。
QUEST_20151001_002511	守護泰內聖堂真的是很了不起的事情，但我非常擔心聖殿十字軍大師的安危。{nl}神樹之日當天，他在首都使用聖具時，也花了很長的時間在專注恢復上。
QUEST_20151001_002512	多虧了不久前出現的啟示者，魔族們將魔法師之塔納為己有的事情已經失敗了。{nl}但是如果是我的話，從一開始就做足準備不會讓別人輕視自己。{nl}我絕對不會變成跟宗家一樣。
QUEST_20151001_002513	魔君主之類的傢伙竟然汙衊了賢者梅伊班的教誨，{nl}這會讓那柯堤斯會好好地付出代價。
QUEST_20151001_002514	你說消滅魔法師之塔內魔族的超厲害啟示者在這裡？{nl}大師們相互察言觀色中。當然我什麼都沒說。
QUEST_20151001_002515	神樹之日後，大家為了生活非常忙碌，完全沒有要去大教堂的想法。{nl}但是大教堂仍是大家內心冀望的地方。{nl}說不定某位啟示者也不知道自己做了大事。
QUEST_20151001_002516	雖然不知道是誰，但我比啟示者更想要去拯救魔法師之塔。{nl}可以減少這種程度的費用嗎?
QUEST_20151001_002517	像我這樣對見錢眼開的人也知道大教堂有多麼重要。{nl}但我有掛心的事… 就是那個賢者梅伊班的項鍊。{nl}難道不是在魔族的手裡嗎？
QUEST_20151001_002518	我衝破了那波濤洶湧的風浪，你也穿越了荊棘林而來到這裡。{nl}難道還要找女神嗎。不過，怎麼了？
QUEST_20151001_002519	魔法師之塔淪陷的話，佩迪米安也絕對不會平安無事的。{nl}魔君主赫嘉塞露女妖… 執著的最後那麼空虛地結束
QUEST_20151001_002520	夢到女神之夢的啟示者們出現後，一個一個從魔族的手裡解放了。{nl}大教堂也是一樣。{nl}女神沒有拋棄我們的證據，不就是他們嗎。
QUEST_20151001_002521	離開王國
QUEST_20151001_002522	首都的地下深處裡湧出了非常巨大的樹木。{nl}樹木的大即使跟山也無法比較的巨大。{nl}因為他的餘波讓大部分的都市被破壞後，很多人的親人也失去了生命。{nl}
QUEST_20151001_002523	然而災厄並沒有結束。{nl}邪惡的氣息包圍了整個土地，怪物開始亂竄，{nl}魔族們也開始進攻了。{nl}似乎像是不治之症一樣完全看不到可以治療的方法。{nl}
QUEST_20151001_002524	還有女神也不見了。{nl}我們相信並跟隨的女神們隱藏了自己的足跡，不管怎樣祈禱都沒有回應。{nl}人們憤怒和難過之後，只剩下絕望。{nl}想要阻擋持續的災厄，不斷掙扎跟奔走，卻只有加重混亂而已。{nl}死亡常常在身邊所以漸漸的麻痺了。{nl}
QUEST_20151001_002525	對於所有的難過跟痛苦已經漸漸看淡了。{nl}帶著像死人一樣的臉，失去希望並絕望地什麼事情也不做。{nl}彷彿注視王國歷史的末日… {nl}對於沒有回來女神的名字全部沒有意義重複的說著。{nl}
QUEST_20151001_002526	文章寫到這裡，我現在要離開這個王國。{nl}討厭只等待女神的無力感，對於絕望的淡然也討厭。{nl}就只有離開了，前往可以找到希望的地方…
QUEST_20151001_002527	救世者… {nl}拉伊瑪說夢到了世界滅亡的夢，{nl}還說了眾多啟示者中只有一位救世者可以拯救大家。{nl}
QUEST_20151001_002528	但是我對於拉伊瑪的預知百分之百不相信，{nl}
QUEST_20151001_002529	為了不知道何時會出現的救世者… {nl}必須放棄我掌管世界火焰的責任。{nl}
QUEST_20151001_002530	我代替亞佳伊拉弗羅里守護著啟示{nl}只是在思考她的死亡和赫嘉塞露女妖的惡緣。{nl}
QUEST_20151001_002531	但是全部的事情都跟拉伊瑪的預知一樣發生了，{nl}神樹之日以後只能用著微弱力量進行長時間的戰鬥。{nl}
QUEST_20151001_002532	謝謝你的拯救，救世者。{nl}我應該要早點聽拉伊瑪的話才對… 我對於過去的日子非常後悔。
QUEST_20151001_002533	也許我馬上就要離開了，{nl}朝聖者啊。一起祈求女神的祝福！
QUEST_20151001_002534	她到死為止都在找的東西到底是什麼，{nl}不管怎樣絕對都有悲傷的故事沒有錯。
QUEST_20151001_002535	似乎是打算讓樹根水晶忘記呼吸的方法，{nl}感覺就像是潛水一樣。{nl}
QUEST_20151001_002536	沒有慾望。我要死了嗎？{nl}就連吃飯呼吸都沒有意義了。{nl}
QUEST_20151001_002537	明明這就是和梅伊班的教誨不同的東西。{nl}貪吃? 懶惰? 彼此相互陷害的事情怎麼可以被叫做教誨？{nl}我反而開始羨慕先死去的迪翁。{nl}
QUEST_20151001_002538	如果可以再多給我一點時間的話…{nl}我收集好放在迪基內岔路附近的重要資料… 放著就走人…
QUEST_20151001_002539	弓箭手雖然給了你叫做箭的禮物，但敵人要用那個來迎接死亡。{nl}我認為現在這世界不就跟這個一樣？
QUEST_20151001_002540	我要和信徒們一起留在這個地方。{nl}要如何阻止這個地方的荊棘林繼續擴張。{nl}
QUEST_20151001_002541	然而，請暫時先不要將我的存在洩漏出去，{nl}人類天生就需要可以期待的地方… {nl}如果知道女神的無力感，那這世界只會充斥著嘆息和混亂而已。{nl}
QUEST_20151001_002542	等著下一個啟示守護者的王陵對你來說是非常遙遠的地方，{nl}我將會替你打開傳點。{nl}以太陽的女神薩勒之名為你護持。
QUEST_20151001_002543	所謂永生… 看看泰斯拉，{nl}在永生裡不會老的事情不是錯覺吧？
QUEST_20151001_002544	(可以看到稍微可以讀出來的部分){nl}…尤勒斯最後因為無法憋氣而吸入孢子死亡了。{nl}蘑菇沃特是我目前看過使用最惡毒的方法獵殺人類的怪物，{nl}那傢伙會在我們集合地附近遊走並從身上抖落會噴射孢子的蘑菇。{nl}
QUEST_20151001_002545	即使是女神不在的狀況，神諭師仍然對人們傳送女神的神諭。{nl}那個就是女神們實際存在的證據不是嗎。
QUEST_20151001_002546	神樹之日並非自然的意思，{nl}自然是明明是女神的領域。女神絕對沒有要害我們。
QUEST_20151001_002547	這是我的榮幸，向光之女神獻上賦予我全部靈魂的女神像。
QUEST_20151001_002548	我的弟子之中有兩個人一直跟隨我直到晚年的現在，大概在我死後會繼承我的成果。{nl}
QUEST_20151001_002549	..我是應該要非常感謝女神願意讓我有這樣的發現呢，或者該煩惱我過度的學術欲望是否干擾了這個世界。{nl}
QUEST_20151001_002550	我害怕我的研究成果被魔族的探查中被傳播開來，以至於每晚難以入眠，{nl}所以我想要將有關這事實的內容分享給足以承擔的正直者。{nl}
QUEST_20151001_002551	你也對永生有興趣嗎？{nl}我們死靈法師掌管沒有呼吸的人，反過來想想就簡單許多了。{nl}
QUEST_20151001_002552	如果他問你天氣如何的話，就回答晴天。{nl}那麼他就會對你深信不疑了。
QUEST_20151001_002553	如果他問你天氣如何的話，就回答陰天。{nl}那麼他就會對你深信不疑了。
QUEST_20151001_002554	如果他問你天氣如何的話，就回答會下雨的樣子。{nl}那麼就相信你而等你了。
QUEST_20151001_002555	我經常在佩迪米安賣東西，{nl}找我有什麼事嗎？
QUEST_20151001_002556	是的，但是因為要走的路，所以擔心會不會下雨。{nl}今天不會變天嗎？
QUEST_20151001_002557	原來是武僧大師派來的人啊！{nl}東西我收下了，{nl}走替我向武僧大師轉達我的謝意。
QUEST_20151001_002558	這樣嗎.. 不知道會變怎樣，還是盡快比較好。
QUEST_20151001_002559	雖然很痛心，但現在要沒有帶著要賣的東西。
QUEST_20151001_002560	回去路上請小心。
QUEST_20151001_002561	我絕對不能原諒奪走我家人性命的怪物們。{nl}即使肉體已經回到大地，我的靈魂因為無法熄滅的憤怒而燃燒著。{nl}啊啊，女神啊！ 只要冰冷怪物的體液才能澆熄我的憤怒。
QUEST_20151001_002562	卡杜梅爾王國最後閉上了眼睛。
QUEST_20151001_002563	從很久以前開始，魔族和女神之間就有微妙的力量互相牽制著，{nl}在不侵犯彼此領域的線上。{nl}
QUEST_20151001_002564	但是先打破的是魔族，{nl}那個是這石化霜… 超越死亡，就連靈魂都變成了石頭。
QUEST_20151001_002565	魔族在這一帶下了石化的詛咒，女神想要拯救人類。{nl}但是魔族遺棄了互不侵犯的原則，在這裡…{nl}
QUEST_20151001_002566	等一下。這是非常可怕的記憶…{nl}災厄降臨。女神不得不放棄這個被石化的地方般巨大的災厄…
QUEST_20151001_002567	就在已經放棄了一次救援後，神樹之日當天又什麼都做不了。{nl}雖然這樣說，但也並不是全都放棄了。
QUEST_20151001_002568	救世者啊。{nl}正如你所看到的，現在憑我自身的力量什麼事情都做不了。{nl}在你們所說的神樹之日後，就只剩下微弱的力量而已…{nl}
QUEST_20151001_002569	在這收監所裡有新的災厄正在萌芽，{nl}魔族們不斷地進入轉移縫隙，並意圖將收監所變成他們的新據點。{nl}
QUEST_20151001_002570	對我來說，就連關閉轉移縫隙的力量都不剩。{nl}但就算如此，也不是沒有任何方法。{nl}
QUEST_20151001_002571	你的幫忙就是唯一可翻轉這情況的關鍵，{nl}務必代替無力的我，將關閉轉移縫隙的力量借給我。
QUEST_20151001_002572	無法原諒。
QUEST_20151001_002573	獻花之後，還需要獻上史塔污利特心臟。{nl}要獻上史塔污利特心臟獲得祝福嗎？
QUEST_20151001_002574	這柱子上有著令人在意的又髒又厚黑色粉末。要刮看看嗎？
QUEST_20151001_002575	無法閱讀。
QUEST_20151001_002576	在柱子看到了1的數字。
QUEST_20151001_002577	在柱子看到了2的數字。
QUEST_20151001_002578	在柱子看到了3的數字。
QUEST_20151001_002579	稀微的寫著什麼。紋樣… 碎片…？
QUEST_20151001_002580	槌子? 製作聖所時需要的嗎?
QUEST_20151001_002581	{nl}我在用的沒有辦法給你，先把這老舊的帶走吧。一次使用就會不見了。
QUEST_20151001_002582	槌子，都已經給你了還想要什麼？
QUEST_20151001_002583	修理聖所..
QUEST_20151001_002584	本來要像平常一樣一手交錢一手交貨，但這次就直接給你吧。但這只能使用一次。
QUEST_20151001_002585	欲望也很大嘛。一個就足夠了。
QUEST_20151001_002586	卡道拉歐姆商團佈告欄
QUEST_20151001_002587	這附近是卡道拉歐姆商團的聖物挖掘地，{nl}請各位朝聖者注意。
QUEST_20151001_002588	卡道拉歐姆的商團… 收下了優惠，{nl}不知怎麼地，有氣息湧出。
QUEST_20151001_002589	靠近右上方處有聖物。
QUEST_20151001_002590	靠近左方處有聖物。
QUEST_20151001_002591	靠近左上方處有聖物。
QUEST_20151001_002592	是下面嗎？
QUEST_20151001_002593	右上方稍遠處有聖物。
QUEST_20151001_002594	左方稍微遠處有聖物。
QUEST_20151001_002595	左上方稍微遠處有聖物。
QUEST_20151001_002596	右上方遠處有聖物。
QUEST_20151001_002597	左方遠處有聖物。
QUEST_20151001_002598	左上方遠處有聖物。
QUEST_20151001_002599	哈啊，謝謝。
QUEST_20151001_002600	單眼鏡可以探索特別的力量，那前面的箱子啊。
QUEST_20151001_002601	我告訴你的地點雖然沒有特別的力量或魔族，但有管理大地要塞的老人，對吧？ 我有告訴你我的故事了？
QUEST_20151001_002602	我還沒說我的故事，對吧？ 做的好！
QUEST_20151001_002603	如要前往下個區域的話需要證明書。
QUEST_20151001_002604	等一下！ 你沒有聽到什麼聲音嗎？
QUEST_20151001_002605	不要想那種讓人討厭的方法。這是現在我能幫助你最好的方法。
QUEST_20151001_002606	露克立斯部隊員靈魂
QUEST_20151001_002607	想去女神的身邊。
QUEST_20151001_002608	普利米歐艾米諾特
QUEST_20151001_002609	那樣徘徊尋找後，女神的啟示已所剩不多了。
QUEST_20151001_002610	是你這傢伙重新啟動了魔法陣！
QUEST_20151001_002611	即使我死也要阻止你這傢伙拿到啟示！
QUEST_20151001_002612	我的忠誠手下曼達拉啊！ 將那個傲慢的啟示者殺了吧！
QUEST_20151001_002613	可以再次看到你真的太好了。
QUEST_20151001_002614	你還記得我用單眼鏡一邊探索強大力量一邊叫你確認的事情嗎？{nl}確認後回來的你告訴我說只有老管理員。我想到那些被特殊力量包圍的東西就是真的魔族怪物們。還有可以感覺強到難以言喻的東西，經確認後就是那個老管理員。
