QUEST_LV_0400_00000000_000000	UTF-8-DOM問題迴避用
QUEST_LV_0400_20161214_001376	找到植物標本採集道具就到諾貝禮爾瀑布那裏去收集植物標本吧.{nl}只要收集草或著是樹根之類的東西就可以了.
QUEST_LV_0400_20161214_001377	從植物標本上沒找到甚麼的話就得調查怪物了.
QUEST_LV_0400_20161214_001378	你把植物標本帶來了嗎?{nl}
QUEST_LV_0400_20161214_001379	我看看..{nl}這裡也找不到甚麼特別的東西.
QUEST_LV_0400_20161214_001380	得去看看怪物標本了.{nl}再幫我一下吧!{nl}
QUEST_LV_0400_20161214_001381	怪物的標本得用特殊藥品來進行採集.{nl}原本是在希凱斯身上,情急之下就忘在調查的地方了.{nl}
QUEST_LV_0400_20161214_001382	到神樹石橋去的話可以找到希凱斯用過的特殊溶液與標本保存瓶.{nl}原本就忙翻了結果現在卻一點也想不起來放在哪裡呢.
QUEST_LV_0400_20161214_001383	想找到特殊溶液與標本保存瓶必須到上層運輸地去.{nl}對那邊的怪物潑灑特殊溶液然後再消滅牠們就可以囉.{nl}
QUEST_LV_0400_20161214_001384	怪物死掉以後細胞硬化就無法得到正確資訊了.{nl}所以必須防止特殊溶液使細胞硬化.
QUEST_LV_0400_20161214_001385	希望我們忙碌的同時傳染病感應石已經產生反應了.
QUEST_LV_0400_20161214_001386	喔,保存得很好嘛!{nl}我看看..{nl}
QUEST_LV_0400_20161214_001387	嗯.. 好像有感應到甚麼氣息的樣子..{nl}光用這個難道還不夠..{nl}
QUEST_LV_0400_20161214_001388	也不確定是不是跟諾貝禮爾的傳染病有沒有關聯性呢!{nl}得回去好好調查了!
QUEST_LV_0400_20161214_001389	現在應該可以去確認傳染病感應石有沒有感應到甚麼了吧!{nl}幫我把安裝在諾貝禮爾十字路口的傳染病感應石帶給我吧.
QUEST_LV_0400_20161214_001390	希望會有反應啊..
QUEST_LV_0400_20161214_001391	要是傳染病感應石甚麼反應都沒有的話,我們起不就等於兩收空空回去了嗎?{nl}那些傳染病患者又該怎麼辦呢..
QUEST_LV_0400_20161214_001392	甚麼? {nl}你說你看當那股不祥的氣息正朝往避難營那裏去嗎? 
QUEST_LV_0400_20161214_001393	從你帶來的傳染病感應石上我也感受到一股很強大的訊息呢!{nl}跟瘟神的氣息很類似..又有些許不同.{nl}
QUEST_LV_0400_20161214_001394	更強大也更令人害怕的氣息呢!{nl}這麼一來在諾貝禮爾十字路口目睹的有可能就是傳染病的真面目了呢!{nl}
QUEST_LV_0400_20161214_001395	你這樣一說我才想到有聽說過以前關於瘟神的故事呢.{nl}以前的人認為瘟神就是災難及不幸的象徵.{nl}
QUEST_LV_0400_20161214_001396	如果傳染病的真面目就是瘟神的話.. 這樣真的很危險呢!{nl}勸你小心點.
QUEST_LV_0400_20161214_001397	還是要小心啊!{nl}瘟神可是很可怕的啊!
QUEST_LV_0400_20161214_001398	說不定可以從瘟神身上獲得甚麼可以治療傳染病的線索喔!
QUEST_LV_0400_20161214_001399	你真的把瘟神消滅了嗎?{nl}
QUEST_LV_0400_20161214_001400	而且,這就是瘟神的核心啊!{nl}這一定就是傳染病產生的最終源頭了.{nl}
QUEST_LV_0400_20161214_001401	把這個拿給瘟疫醫生大師他一定能製作出治療藥劑的.{nl}謝謝你了.{nl}
QUEST_LV_0400_20161214_001402	剛好支援的人都到了呢!{nl}希凱斯狀況越來越不好了,趕快出發回去吧!{nl}
QUEST_LV_0400_20161214_001403	我不會忘記你的幫忙會好好轉達的.{nl}你拯救了那些被諾貝禮爾傳染病折磨個半死的患者們啊!
QUEST_LV_0400_20161214_001404	There's a disease spreading around here.{nl}You should leave while you still can.
QUEST_LV_0400_20161214_001405	I must think of those suffering from the Nobreer Epidemic and find a clue.
QUEST_LV_0400_20161214_001406	Kupole Lenja
QUEST_LV_0400_20161214_001407	I am a Kupole at the service of Goddess Laima.{nl}I'm waiting for the right time here under Her orders.
QUEST_LV_0400_20161214_001408	The treaty that goddesses and demons signed many, many eras ago is more than a simple agreement.
QUEST_LV_0400_20161214_001409	One of my tasks is soon to be completed, it seems.
QUEST_LV_0400_20161214_001410	I do regret not paying closer attention to Laima's words, but we mustn't stop.{nl}The world is not quite over yet.{nl}
QUEST_LV_0400_20161214_001411	I'm certain there will be other many actions to take, I believe Her words.{nl}Surely She still has hope.
QUEST_LV_0400_20161214_001412	歡迎光臨!!{nl}我們等您很久啦!!!救援者大人.{nl}我事負責侍奉拉伊瑪女神的奎波爾蕾妮亞.
QUEST_LV_0400_20161214_001413	{nl}遠古以前,拉伊瑪女神就預言你終有一天會來到這裡的.{nl}而且她也提到她有東西有交給你.
QUEST_LV_0400_20161214_001414	{nl}那是很久以前發生的事情了.. 傳說中的女神與魔族的故事.{nl}為了要讓你可以面對那件事情我在這裡等你過來的
QUEST_LV_0400_20161214_001415	{nl}救援者啊!!完成她的新願吧,找回這裡過去的誓約確認過去所發生的事情吧!{nl}為了這整個世界,為了你, 還有為了4年前那些不相信女神的愚蠢之輩們吧...
QUEST_LV_0400_20161214_001416	拉伊瑪女神並沒有告訴我獲得誓約的方法.{nl}可能是深怕這個方法被不是救援者的人給知道吧.
QUEST_LV_0400_20161214_001417	{nl}拉伊瑪女神製作了寫有獲得誓約的方法 的預言之書.{nl}而且,女神說預言之書只有真正的救援者才能獲得.
QUEST_LV_0400_20161214_001418	{nl}為了獲得預言之書,你必須證明你是真正的救援者才行.{nl}到弗拉納西斯泰之路那裏的3個預言石塔正明你是真正的救援者吧!
QUEST_LV_0400_20161214_001419	{nl}如果是真正的救援者就可以獲得預言之書.
QUEST_LV_0400_20161214_001420	救援者必須獨自完成所有事情.{nl}我只是盡我的本分,把我該向你轉告的話轉達給你然後等待下一個只是而已.
QUEST_LV_0400_20161214_001421	找到預言之書了嗎?
QUEST_LV_0400_20161214_001422	預言之書是用拉伊瑪 女神的力量製作而成的.{nl}因此光靠命運的力量是無法窺看內容的.{nl}
QUEST_LV_0400_20161214_001423	基瑪斯之路那裏的命運的寶珠內含有她的力量.{nl}吸收命運的寶珠的力量,接著卻認預言之書的內容,並且照著做吧!{nl}
QUEST_LV_0400_20161214_001424	現在我能做的,就只有等待你帶著誓約歸來而已.{nl}所有的事情都寫在預言之書上, 我會在尤德伊安的祭壇那等你. 
QUEST_LV_0400_20161214_001425	前陣子魔族還在尤德伊安森林一帶徘徊.{nl}想必是覬覦這裡的誓約吧!
QUEST_LV_0400_20161214_001426	{nl}大概是不希望誓約落入救援者手中吧!{nl}拉伊瑪女神說一切都準備好了只是怕..
QUEST_LV_0400_20161214_001427	{nl}要是遇上了魔族,希望能馬上處理掉他們.
QUEST_LV_0400_20161214_001428	我的角色只不過是要傳達拉伊瑪女神的要對你說的話,還有等待結果而已.{nl}你才是這一切的關鍵.{nl}
QUEST_LV_0400_20161214_001429	不過, 要小心那些覬覦誓約的魔族啊!
QUEST_LV_0400_20161214_001430	女神的誓約, 魔族的誓約還有誓約的石板都入手囉!
QUEST_LV_0400_20161214_001431	現在該確認誓約的內容囉!{nl}尤德伊安的祭壇可以閱讀誓約的內容吧!{nl}
QUEST_LV_0400_20161214_001432	將誓約的石板放上尤德伊安的祭壇,並顯現出女神的誓約與魔族的誓約的內容吧!{nl}據說這樣就可以閱讀誓約的內容了.{nl}
QUEST_LV_0400_20161214_001433	內容是甚麼, 救援者代表的意義是甚麼,我一概不知.{nl}但是, 拉伊瑪女神說要透過這個預言傳達些甚麼給你,不確定是甚麼但應該是非常重要的事情喔!
QUEST_LV_0400_20161214_001434	誓約是千年以前.. 嗯不對,比那還要更久遠的以前,是個女神與魔族彼此締結的誓約 .{nl}可能你早就知道了,或著你根本連聽都沒聽過呀呵呵.{nl}
QUEST_LV_0400_20161214_001435	不確定內容是甚麼,只知道不管怎樣都一定要確實轉達給你知道.{nl}拉伊瑪女神是這樣吩咐我們的.
QUEST_LV_0400_20161214_001436	要是我當初有聽拉伊瑪 女神的話,現在情況會不會就不同呢?{nl}雖然現在這樣講有點太遲了.
QUEST_LV_0400_20161214_001437	確認誓約的內容了嗎?{nl}
QUEST_LV_0400_20161214_001438	我不知道誓約對你到底具有怎樣的意義呢.{nl}我只知道救援者絕對要知道這件事.{nl}
QUEST_LV_0400_20161214_001439	我們的位來就掌握在你的手裡了.{nl}你做出的每一個選擇有可能會是能拯救這世界的每一步啊.{nl}
QUEST_LV_0400_20161214_001440	願救援者的的未來充滿祝福..
QUEST_LV_0400_20161214_001443	諾貝禮爾的傳染病
QUEST_LV_0400_20161214_001444	服藥
QUEST_LV_0400_20161214_001445	少說廢話
QUEST_LV_0400_20161214_001446	找到傳染病的治療方法後(1)
QUEST_LV_0400_20161214_001447	願意代替希凱斯幫助你
QUEST_LV_0400_20161214_001448	覺得很可惜
QUEST_LV_0400_20161214_001449	找到傳染病的治療方法後(2)
QUEST_LV_0400_20161214_001450	一起做點其他事吧
QUEST_LV_0400_20161214_001451	找到傳染病的治療方法後(3)
QUEST_LV_0400_20161214_001452	採集好植物標本會再回來
QUEST_LV_0400_20161214_001453	休息一下再出發吧!
QUEST_LV_0400_20161214_001454	找到植物標本採集道具囉!{nl}諾貝禮爾瀑布去採集植物標本吧.
QUEST_LV_0400_20161214_001455	找到傳染病的治療方法後(4)
QUEST_LV_0400_20161214_001456	找到傳染病的治療方法後(5)
QUEST_LV_0400_20161214_001457	說要去找怪物的標本
QUEST_LV_0400_20161214_001458	你是神遊到哪去啦
QUEST_LV_0400_20161214_001459	採集怪物標本所需的道具都找到囉!{nl}對上層運輸地的怪物潑灑特殊溶液後就可以直接採集標本囉!
QUEST_LV_0400_20161214_001460	找到傳染病的治療方法後(6)
QUEST_LV_0400_20161214_001461	傳染病的真面目(1)
QUEST_LV_0400_20161214_001462	說要把傳染病感應石給帶來
QUEST_LV_0400_20161214_001463	該say goodbye囉
QUEST_LV_0400_20161214_001464	傳染病的真面目(2)
QUEST_LV_0400_20161214_001465	諾貝禮爾的瘟神
QUEST_LV_0400_20161214_001466	確認後再過來啦別擔心
QUEST_LV_0400_20161214_001467	現在最好是收手啦
QUEST_LV_0400_20161214_001468	拉伊瑪留下的預言之書(1)
QUEST_LV_0400_20161214_001469	發誓要找到誓約
QUEST_LV_0400_20161214_001470	別執著於過去,專注於當下吧
QUEST_LV_0400_20161214_001471	拉伊瑪留下的預言之書(2)
QUEST_LV_0400_20161214_001472	一開始就說很麻煩了
QUEST_LV_0400_20161214_001473	魔族的誓約(1)
QUEST_LV_0400_20161214_001474	命運的力量使用中
QUEST_LV_0400_20161214_001475	保護魔法解除後, 魔族與女神的誓約出現了.nl}為了獲得魔族的誓約, 請去收集預言之書所寫的尤德伊安邪惡的血吧!
QUEST_LV_0400_20161214_001476	魔族的誓約(2)
QUEST_LV_0400_20161214_001477	收集了足夠的尤德伊安邪惡的血了.{nl}快到坦索斯之路那裏的紅色魔法陣去.
QUEST_LV_0400_20161214_001478	魔族的誓約(3)
QUEST_LV_0400_20161214_001479	尤德伊安邪惡氣息的邪惡的血中的不祥之氣正在壯大強化中.{nl}你快到坦索斯依凱提瑪那裏去尋找魔族的誓約信物.
QUEST_LV_0400_20161214_001480	魔族的誓約(4)
QUEST_LV_0400_20161214_001481	不祥之氣 注入中
QUEST_LV_0400_20161214_001482	魔族的誓約 獲取中
QUEST_LV_0400_20161214_001483	女神的誓約已入手!{nl}回到誓約的封印處那裏的誓約的封印去吧!
QUEST_LV_0400_20161214_001484	女神的誓約(1)
QUEST_LV_0400_20161214_001485	魔族的封印解除中
QUEST_LV_0400_20161214_001486	魔族的封印成功解除.{nl}現在如預言書所寫的, 現在到斯比埃索斯路上去尋找女神的信賴石啊!
QUEST_LV_0400_20161214_001487	獲得女神的信賴石了!{nl}到坦索斯依凱提瑪로那裏去取得女神的誓約信物吧!
QUEST_LV_0400_20161214_001488	女神的誓約(2)
QUEST_LV_0400_20161214_001489	獲取女神的誓約中
QUEST_LV_0400_20161214_001490	女神的誓約已入手!{nl}回到誓約的封印處那裏的誓約的封印去吧!
QUEST_LV_0400_20161214_001491	女神與魔族的故事(1)
QUEST_LV_0400_20161214_001492	解除誓約的封印中
QUEST_LV_0400_20161214_001493	解開誓約的封印獲得鑰匙了!{nl}快去尋找尤德伊安聖所的保管箱.
QUEST_LV_0400_20161214_001494	女神與魔族的故事(2)
QUEST_LV_0400_20161214_001495	女神與魔族的故事(3)
QUEST_LV_0400_20161214_001496	確認誓約後再過來
QUEST_LV_0400_20161214_001497	誓約內容確認中
QUEST_LV_0400_20161214_001498	與瘟疫醫生尤克利那斯對話
QUEST_LV_0400_20161214_001499	瘟疫醫生尤克利那斯正在照顧那些昏倒的人. 去問問看他發生甚麼事了.
QUEST_LV_0400_20161214_001500	服用緊急用諾貝禮爾傳染病治療劑 
QUEST_LV_0400_20161214_001501	趕快服用尤克利那斯給你的緊急用諾貝禮爾傳染病治療劑吧!
QUEST_LV_0400_20161214_001502	與尤克利那斯對話
QUEST_LV_0400_20161214_001503	治療劑已喝完, 去跟尤克利那斯對話吧!
QUEST_LV_0400_20161214_001504	去找傳染病的治療方法
QUEST_LV_0400_20161214_001505	諾貝禮爾森林究竟發生甚麼事去問問看尤克利那斯吧!
QUEST_LV_0400_20161214_001506	回收尤克利那斯的
QUEST_LV_0400_20161214_001507	你快去尤克利那斯在愛梅特森林入口處回收安裝在那裏的桶子裡的試驗液吧
QUEST_LV_0400_20161214_001508	轉交給尤克利那斯
QUEST_LV_0400_20161214_001509	試驗液都收集完成了!轉交給尤克利那斯吧!
QUEST_LV_0400_20161214_001510	帶來的試驗液好像有發現甚麼的樣子,去跟克利那斯對話吧!
QUEST_LV_0400_20161214_001511	在諾貝禮爾十字路口安裝傳染病感應石
QUEST_LV_0400_20161214_001512	尤克利那斯說要用傳染病感應石來找找有沒有其他線索. 你也到諾貝禮爾十字路口去安裝傳染病感應石吧!
QUEST_LV_0400_20161214_001513	向尤克利那斯報告
QUEST_LV_0400_20161214_001514	傳染病感應石都安裝完成了,回去尤克利那斯那理報告吧!
QUEST_LV_0400_20161214_001515	傳染病感應石都安裝好了, 現在去問問看尤克利那斯還有甚麼事情要做吧.
QUEST_LV_0400_20161214_001516	在下層運輸地那裏尋找植物標本採集道具
QUEST_LV_0400_20161214_001517	尤克利那斯說直到傳染病感應石有反應出現之前,先進行其他事情吧!. 到下層運輸地去尋找植物標本採集道具吧!
QUEST_LV_0400_20161214_001518	到諾貝禮爾瀑布去採集植物標本吧!
QUEST_LV_0400_20161214_001519	到諾貝禮爾瀑布去採集植物標本.
QUEST_LV_0400_20161214_001520	已取得植物標本,轉交給克利那斯吧!
QUEST_LV_0400_20161214_001521	與尤克利那斯對話吧!
QUEST_LV_0400_20161214_001522	到神樹石橋去尋找希凱斯用過的工具
QUEST_LV_0400_20161214_001523	尤克利那斯要我趁他正在觀察植物標本的時候,去收集怪物標本. 到神樹石橋那裏去找希凱斯用過的尤克利那斯的特殊溶液與標本保存瓶吧!
QUEST_LV_0400_20161214_001524	使用特殊溶液消滅怪物
QUEST_LV_0400_20161214_001525	向怪物使用尤克利那斯 的特殊溶液並消滅蟻后收集標本吧!
QUEST_LV_0400_20161214_001526	怪物的標本已經收集夠了,回到尤克利那斯那裏去吧!
QUEST_LV_0400_20161214_001527	使用特殊溶液後消滅 %s
QUEST_LV_0400_20161214_001528	傳染病的真面目
QUEST_LV_0400_20161214_001529	標本收集夠了現在去跟尤克利那斯對話問問看還有甚麼事情吧! 
QUEST_LV_0400_20161214_001530	到諾貝禮爾十字路口確認傳染病感應石
QUEST_LV_0400_20161214_001531	到諾貝禮爾十字路口去確認傳染病感應石吧.
QUEST_LV_0400_20161214_001532	回收諾貝禮爾十字路口的傳染病感應石
QUEST_LV_0400_20161214_001533	去把安裝在諾貝禮爾十字路口的傳染病感應石都回收回來吧!
QUEST_LV_0400_20161214_001534	可以從回收回來的傳染病感應石上不祥的氣息.把這個拿給尤克利那斯吧!
QUEST_LV_0400_20161214_001535	尤克利那斯正觀察著傳染病感應石表情不太對勁.去聽聽看發生甚麼事了吧.
QUEST_LV_0400_20161214_001536	前往不祥的氣息圍繞著的避難營
QUEST_LV_0400_20161214_001537	尤克利那斯說這股不祥的氣息似乎就是諾貝禮爾傳染病產生的原因. 快去調查充滿這不祥的氣息的避難營吧.
QUEST_LV_0400_20161214_001538	不祥的氣息的的真面目原來是格林利波. 帶著從格林利波身上拿到的核去找尤克利那斯吧!
QUEST_LV_0400_20161214_001539	消滅格林利波
QUEST_LV_0400_20161214_001540	拉伊瑪留下的預言之書
QUEST_LV_0400_20161214_001541	與奎波爾蕾妮亞對話
QUEST_LV_0400_20161214_001542	去跟奎波爾蕾妮亞對話吧!
QUEST_LV_0400_20161214_001543	確認預言石塔
QUEST_LV_0400_20161214_001544	奎波爾蕾妮亞為了確認你是真正的救援者,要你到弗蕾史泰之路去確認預言石塔去確認好3個預言石塔並獲得預言之書喔!
QUEST_LV_0400_20161214_001545	確認所有的預言石塔入手預言之書了!請回到奎波爾蕾妮亞那裡吧!
QUEST_LV_0400_20161214_001546	確認所有預言之塔獲得%s
QUEST_LV_0400_20161214_001547	預言之書上甚麼內容都沒寫啊!想知道怎麼做的話先去問奎波爾蕾妮亞吧!
QUEST_LV_0400_20161214_001548	從命運的寶珠吸取命運的力量
QUEST_LV_0400_20161214_001549	想閱讀預言之書的內容就需要命運的力量. 到基瑪斯之路那裡吸收命運的寶珠的命運的力量吧!
QUEST_LV_0400_20161214_001550	魔族的誓約
QUEST_LV_0400_20161214_001551	確認誓約的封印
QUEST_LV_0400_20161214_001552	預言之書 : 請到誓約的封印處的誓約的封印那裏
QUEST_LV_0400_20161214_001553	封印的光換成其他顏色
QUEST_LV_0400_20161214_001554	預言之書 : 必須先將守護誓約的封印的保護魔法解開. 另外如果要將誓約的封印周圍的封印的光換成其他顏色的話保護魔法就會消失.
QUEST_LV_0400_20161214_001555	解除守護誓約的封印的保護
QUEST_LV_0400_20161214_001556	預言之書 : 封印的光發出不一樣的光芒的話, 就表示保護誓約的封印的魔法可以解除了.對誓約的封印使用 命運的力量解除保護魔法吧!
QUEST_LV_0400_20161214_001557	消滅怪物獲得尤德伊安的邪惡的血
QUEST_LV_0400_20161214_001558	預言之書 : 為了獲得魔族的誓約, 需要邪惡祭物.但是沒有救援者會把那個東西隨身帶在身上吧! 也許有點不太夠,但應該可以先用怪物的血來擋著用,怪物的血也帶有不祥之氣喔! 先消滅怪物取得邪惡的血吧!
QUEST_LV_0400_20161214_001559	用魔族的氣息填滿尤德伊安的邪惡的血
QUEST_LV_0400_20161214_001560	預言之書 : 只靠尤德伊安的邪惡的血是不夠的. 要想完成邪惡祭物就需要更多魔族的氣息.. 你到坦索斯之路那裏去就會看到魔族所留下的紅色魔法陣.把祭物給拿來放在魔法陣上面,魔法陣的不祥之氣就會附著在祭物上了.
QUEST_LV_0400_20161214_001561	回收坦索斯依凱提瑪的魔族的誓約
QUEST_LV_0400_20161214_001562	預言之書 : 邪惡祭物完成以後,就可以成攻獲得魔族的誓約囉!魔族的誓約就位在坦索斯依凱提瑪那裏.
QUEST_LV_0400_20161214_001563	回收魔族的誓約
QUEST_LV_0400_20161214_001564	成攻消滅了長久覬覦著誓約的魔族.請再次使用尤德伊安的邪惡的血來獲取魔族的誓約吧!
QUEST_LV_0400_20161214_001565	消滅覬覦誓約的 %s
QUEST_LV_0400_20161214_001566	女神的誓約
QUEST_LV_0400_20161214_001567	解除被束縛在誓約封印的魔族的封印
QUEST_LV_0400_20161214_001568	預言之書 : 誓約的封印是魔族與女神一起封印的. 只要有魔族的誓約信物,就可以解開魔族所施展的封印.你在誓約的封印上使用 魔族的誓約信物解除封印看看吧!
QUEST_LV_0400_20161214_001569	尋找女神的信賴石
QUEST_LV_0400_20161214_001570	預言之書 : 為了獲得女神的誓約信物,必須要有女神的信賴石. 女神的信賴石被放置在 斯比埃索斯之路上.根據預言,神樹之日的時候, 信賴石所放置的祭壇整個崩塌掉了. 不過斯比埃索斯之路上也許可以找到喔! 
QUEST_LV_0400_20161214_001571	用女神的信賴石來閱讀碑石上的筆跡可解除封印
QUEST_LV_0400_20161214_001572	預言之書 : 利用女神的信賴石就可以閱讀封印的碑石中隱藏的筆跡喔, 說出筆跡出現女神的名字,封印就會一個一個解除了. 會出現在封印的碑石的女神有加比婭, 瓦卡麗涅, 澤米娜.
QUEST_LV_0400_20161214_001573	獲得女神的誓約
QUEST_LV_0400_20161214_001574	已閱讀完所有碑石並解開封印了! 請獲得女神的誓約吧!
QUEST_LV_0400_20161214_001575	女神與魔族的故事
QUEST_LV_0400_20161214_001576	解除誓約的封印
QUEST_LV_0400_20161214_001577	預言之書 : 只要有女神的誓約信物就可以解開誓約的封印並且可獲得誓約的鑰匙. 用那個鑰匙可以打開裝有石板的保管箱,用那個石板可以閱讀誓約的內容.
QUEST_LV_0400_20161214_001578	尋找裝有誓約的石板的保管箱
QUEST_LV_0400_20161214_001579	預言之書 : 得到誓約的鑰匙的話,就必須去尋找誓約的石板囉!在尤德伊安聖所的保管箱中, 找到可以用誓約的鑰匙開啟那一個,誓約的石板應該就在那裡面喔!
QUEST_LV_0400_20161214_001580	魔族與女神的誓約信物還有誓約的石板都收集到了.現在去找奎波爾蕾妮亞跟他對話吧!
QUEST_LV_0400_20161214_001581	看完誓約內容不知道怎麼做的話就去問奎波爾蕾妮亞吧!
QUEST_LV_0400_20161214_001582	利用尤德伊安的祭壇確認誓約的內容
QUEST_LV_0400_20161214_001583	將誓約的石板放上尤德伊安的祭壇之後,使用魔族與女神的誓約信物就可以閱讀誓約的內容呢!快到尤德伊安的祭壇去確認誓約的內容吧.
QUEST_LV_0400_20161214_001584	誓約的內容我都看懂了. 快到奎波爾蕾妮亞那邊去吧!
QUEST_LV_0400_20170313_001591	找到女神的信賴石了!{nl}到坦索斯依凱提瑪那裏去解除碑石封印吧!
QUEST_LV_0400_20170313_001592	清除謎樣的魔族裝置
QUEST_LV_0400_20170313_001593	凱都拉商團團員阿塔請你幫忙清除散步在阿爾蘭必洞窟哩，被推測為魔法媒介體的謎樣魔族裝置
QUEST_LV_0400_20170313_001594	依照凱都拉商團團員阿塔的要求清除了謎樣的魔族裝置。請回去找阿塔。
QUEST_LV_0400_20170313_001595	雖然把怪物都殲滅了，但還是被困在陷阱裡。請確認一下陷阱，看看是否有逃出的方法。
QUEST_LV_0400_20170313_001596	雖然把怪物都殲滅了，但還是被困在陷阱裡。請確認一下陷阱，看看是否有逃出的方法。
QUEST_LV_0400_20170313_001597	與謎樣獵人的對話
QUEST_LV_0400_20170313_001598	設置陷阱的謎樣獵人出現了。請等待謎樣的獵人解除陷阱。
QUEST_LV_0400_20170330_001605	謝謝。庫凱利扎巴們隱藏著什麼…{nl}也許他們還持有更多的命令書也說不定。{nl}
QUEST_LV_0400_20170330_001606	請狩獵前往斯達巴斯空地要道的庫凱利扎巴們並收集命令書。
QUEST_LV_0400_20170330_001607	擊倒庫凱利扎巴後，魔族指令書就從它懷裡出來了。搞不好印德拉雅知道指令書內容，交給她吧。
QUEST_LV_0400_20171128_001608	跟著狗一起走吧。
QUEST_LV_0400_20171128_001609	雖然讓人不放心，但試著使用魔族之血污染聖水。
QUEST_LV_0400_20171128_001610	移動到通往吉烏拉帝殿堂的路口。
QUEST_LV_0400_20171128_001611	真的....聽見歌聲了！{nl}讓內心放鬆的歌聲....
QUEST_LV_0400_20171128_001612	噢....梅德依那女神！{nl}原來您一直都在我身旁。
QUEST_LV_0400_20171128_001613	梅德依那女神通常都會將歌曲種植在樹木當中，藉此將自己的旨意傳達給祭司們。{nl}由於歌詞含有隱喻的意思，祭司們都要解析意思來掌握女神的想法。
QUEST_LV_0400_20171128_001614	我們也有必要思考一下樹木傳來的歌詞的意思，{nl}綻放的黃色花朵的紅色花粉能讓我們的內心放鬆...
QUEST_LV_0400_20171128_001615	啊！我知道歌詞的意思了。
QUEST_LV_0400_20171128_001616	居住在泰雷希森林的人們深信泰雷希花的花粉能讓血液變清澈。{nl}緊急需要花粉時，只要將亞迪的黃色汁液滴在泰雷希花，黃色汁液就會讓花呈現黃色。{nl}
QUEST_LV_0400_20171128_001617	將亞迪的黃色汁液淋在泰雷希花上，然後把花粉帶回來，這大概是女神的旨意吧。
QUEST_LV_0400_20171128_001618	亞迪經常出現在史考瑪斯交叉路與奇迪墨空地。
QUEST_LV_0400_20171128_001619	只要消滅棲息在泰雷希森林的怪物，就能取得黃色汁液。
QUEST_LV_0400_20171128_001620	馬上就取得亞迪的黃色汁液呢。
QUEST_LV_0400_20171128_001621	將亞迪的黃色汁液淋在泰雷希花後採集花粉。{nl}淋上汁液後，泰雷希花很快就會枯萎，所以淋上後就立刻採集花粉。
QUEST_LV_0400_20171128_001622	我會去巴爾塔庭院採集泰雷希花粉。
QUEST_LV_0400_20171128_001623	看來已經取得泰雷希花粉了，{nl}不過沒有任何反應呢。看來還得採取其他行動。
QUEST_LV_0400_20171128_001624	好！{nl}只要將花粉撒在樹木附近，大概就會有反應吧。
QUEST_LV_0400_20171128_001625	樹木長出白色的蘋果....？雖然不清楚蘋果代表什麼意思，但這座森林還有其他會發出聲音的樹木。{nl}我在想那些樹木是不是也一樣都會唱歌呢？！
QUEST_LV_0400_20171128_001626	看來得先去看一下史考達空地的樹木。
QUEST_LV_0400_20171128_001627	晚上發光的螢火蟲在白天時也發光，讓我頓時有股豁然開朗的感覺...？
QUEST_LV_0400_20171128_001628	啊！　大森林地帶的人在占卜時，白天會搗碎樹梅撒在森林裡，{nl}這樣星星螢火蟲就會發光現身。
QUEST_LV_0400_20171128_001629	此時會依照出現的星星螢火蟲的亮度與飄散而來的香味、以及聚集在一起的形狀進行占卜！{nl}若是利用樹梅香讓星星螢火蟲飛到歌唱的樹木，就會像剛才一樣產生反應。{nl}
QUEST_LV_0400_20171128_001630	繼承者烏克奴思
QUEST_LV_0400_20171128_001631	將樹梅裝入瓶中搗碎的話，就能更輕易取得樹梅汁。
QUEST_LV_0400_20171128_001632	為了讓樹梅的香氣有效散發出去，我會負責取得樹枝。
QUEST_LV_0400_20171128_001633	看來已經取得樹梅汁了。等一下。
QUEST_LV_0400_20171128_001634	樹枝已經均勻塗上樹梅汁了，{nl}搖晃樹枝散發樹梅汁的香味，引誘星星螢火蟲前往歌唱的樹木，如此一來大概就會像剛才一樣產生反應。
QUEST_LV_0400_20171128_001635	總覺得慢慢開始看見原本看不見的梅德依那女神的痕跡，並且越來越接近祂了。
QUEST_LV_0400_20171128_001636	引誘的星星螢火蟲數量似乎已經夠了，{nl}但為何都沒有反應呢？！
QUEST_LV_0400_20171128_001637	竟然還沒有反應....{nl}看來還缺少某個條件。
QUEST_LV_0400_20171128_001638	黃色蘋果...{nl}還不清楚蘋果代表的是什麼意思。
QUEST_LV_0400_20171128_001639	從帕司雷普帝空地歌唱的樹木那邊會不會能取得一些線索呢？！
QUEST_LV_0400_20171128_001640	梅德依那女神說過穿梭花的雌蕊與雄蕊之間，且讓其結果實的蝴蝶是愛的傳遞者，{nl}不過半顆心和石頭？
QUEST_LV_0400_20171128_001641	我不太清楚這是什麼意思，{nl}石頭是指真正的石頭嗎？半顆心似乎是指女神的心。
QUEST_LV_0400_20171128_001642	石頭難道是指毫無意義的石頭嗎？{nl}也就是說女神將自己的想法寫在石頭上嗎？
QUEST_LV_0400_20171128_001643	我真的不清楚是什麼意思。
QUEST_LV_0400_20171128_001644	石頭是真的指一般的石頭。
QUEST_LV_0400_20171128_001645	看來我想太多了。
QUEST_LV_0400_20171128_001646	啊！　你來了呀，{nl}那就來聽聽歌聲吧？
QUEST_LV_0400_20171128_001647	看來只要將從唱歌的樹木上獲得的蘋果放入符合顏色的柱子就行了。
QUEST_LV_0400_20171128_001648	只要在三個柱子中放入顏色相符的蘋果就行了。
