ITEM_20150317_000001	Empty_helmet
ITEM_20151022_007300	伊斯托拉武器並不是魔力或是自然力，而是和女神的根本性神聖力有聯結之主張，受到很多的反駁，因為實際發揮此武器效果的對象是變異型怪物。
ITEM_20151022_007301	此弓的製造者們所研製的弓和星之塔沒有關係，而是用他們自行開發出的方法去製作的，他們為此而感到驕傲。
ITEM_20151022_007302	要製作此弓需要下一番努力，必須在特別的時間，在沒人看見的地方等待蕨葉開花的瞬間。其實將蕨葉的生命力轉變成死亡的魔法都是在這種舊儀式之下扎根。
ITEM_20151022_007303	根據某種說法，此武器對於動物特有的體味會有反應。
ITEM_20151022_007304	射擊武器本體成為投射體的魔力根源，持續不停地傳達一定的力量， 使用者在那個過程中就算不親自參與，還是得讓武器可以自動啟動。另外比起注入豐富的魔力，還不如讓武器能夠自行恢復魔力，有這樣的技術做後盾才是最好的。
ITEM_20151022_007305	根據傳聞，亞佳伊拉弗羅里說如果利迪亞夏班手中持有這把弓，就算是魔君主迪耶那也可以很容易就獵捕到手，當然其它人持有也不是完全沒有效果。
ITEM_20151022_007306	某些人認為利迪亞夏班沒有此弓相關記錄的理由是那個時帶沒有這把弓和製造法的關係。如果露克立斯當時有此弓的製造法的話，依利迪亞夏班的性格上不可能沒有任何評價就這樣流傳下來，因此主張此克雷格道具和所有露克立斯沒有關係的後代所發明的武器。
ITEM_20151022_007307	就算是像弓那樣輕巧的武器，還是可以給予變異型怪物強大的傷害，而那個武器就是伊斯托拉武器。
ITEM_20151022_007308	泰內十字弓是泰內聖堂相關者們所研究的武器中，最近才研製出且被製造出來的形態。
ITEM_20151022_007309	神樹之日以前，觀察蕨葉的發火儀式是為了願望成真或是祈求幸運的舊思維，但是神樹之日以後，人類的所有生活變得和之前完全不一樣了。
ITEM_20151022_007310	聽說此武器在命中之後，在標的略微搖動的瞬間會發揮其效果，但是那個動作非常細小，以時間差來說只不過是一剎那而已。
ITEM_20151022_007311	皮里斯武器並不是全都是以相同的魔法基礎製造而成的，並不是在發射體放入對變異型怪物有害的魔法，聽說是當怪物被打中時，因為引發變異的原因而給予傷害。
ITEM_20151022_007312	長久被遺忘的弗羅里製造法在神樹之日以後重新受到注目的功營有一部份是因為學者們，他們不斷地進行遺跡探查和在金石學發展時期所需要的製作法重新救活，才可以讓此武器實體化。
ITEM_20151022_007313	關於克雷格十字弓，利迪亞夏班所提到的記錄，因為是出現在她晚年的記錄上，因為大致上都當這個時期是初次出現的時期看待，可是有少數人認為這個武器更早以前就存在，只不過利迪亞夏班在那個時候提及而已。
ITEM_20151022_007314	朝聖者十字弓是有點餘裕的朝聖者們常選擇的武器，比起充滿魔力的法杖相比，十字弓可以站在更遠的地方容易地對付敵人，這種心情可說是人之常情。
ITEM_20151022_007315	隨著某段時間伊斯托拉地區被塑造成學者們的隱退地，因為那些學者們的交流，而實現了各種發現和發明，現在也持續在進行改良。伊斯托拉十字弓這種改良就是在神樹之日之後實現的。
ITEM_20151022_007316	泰內鈍器是所有泰內聖堂相關武器的起始。從初代聖殿十字軍大師當時就存在，之後第一次將要套用在其它武器上的魔法賦予的武器。
ITEM_20151022_007317	某些人認為女神在很久以前就已經將神秘的力量藏在蕨葉中，所以在會有在神樹之日之前的蕨葉觀察儀式和之後將力量套用於武器上的事。因為認為是很久很久以前流傳下來的習慣，所以其間都沒有神學者或是祭司對此深入研究過。
ITEM_20151022_007318	對修練者或是朝聖者來說，野獸是很容易對付的敵人，如果女神的感化沒有用的話，那就必須要用魔力來治理牠們。
ITEM_20151022_007319	少數祭司認為對付變異型怪物的武器必須用各種素材來製作，在利用金屬加強，蘊藏神聖力，賦予魔力的複雜過程同時套用在此武器上。
ITEM_20151022_007320	鈍器的製作法沒有被埋沒而是流傳下來了。在聖職者之間，如果是和梅伊班有關的傳承的話，不管什麼都覺得很重要，所以才會佔有一席之地，多虧這個原因梅伊班的弟子弗羅里的製作法也記錄下來且被靈活運用。
ITEM_20151022_007321	某些人認為因為名字的關係，這個武器具有敲碎岩石的力量。
ITEM_20151022_007322	本來聖職者的人在走上朝聖者之路時最常選擇的武器就是這個，不管理由是什麼，聖職者們好像最喜歡且最熟悉的武器就是鈍器。
ITEM_20151022_007323	隨著像伊斯托拉鈍器這種過去發現而重新受到注目的狀況，有人覺得解決神樹之日所帶來的災禍之事，學者們也需要站出來。
ITEM_20151022_007324	要在可以分離的武器上賦予魔法是一件很困難的事，而且一般人也很難知道是要在槍刃還是槍桿上賦予對付惡魔的魔力。
ITEM_20151022_007325	此槍上隱藏著象徵蕨葉新芽魔力圖案Koru，新芽從很久以前開始就具有很重大的信仰意義。
ITEM_20151022_007326	即使這個武器會對野獸造成很嚴重的傷害，但是並不推薦使用這個武器來狩獵。一般狩獵還是依靠捕獸器和陷阱，這樣比使用武器還安全。
ITEM_20151022_007327	完美使用此武器的少數人說，在遠方擲出命中怪物的身體之後，可以拔出再進行攻擊，但是也有人指出這種戰鬥方式其實很沒有效率。
ITEM_20151022_007328	不幸的是艾沙奇烏矛槍的製作法有一部份是失傳的，但是參考其它兵器，不確認用什麼材料的部份就用其它材料取代，即便如此還是有做出期待效果。問題是替代的材料，究竟是否是弗羅里第一次想的那個材料，沒有人知道。
ITEM_20151022_007329	不管此武器的獨創者因為某種原因而隱藏身份，躲在克雷格這名字的後面，可以確定的是此武器對於狩獵怪物很有幫助。
ITEM_20151022_007330	雖然妨礙朝聖的魔族也是問題，但是野獸也一樣是朝聖的妨礙物。槍對這兩者來說是很強的武器，而且和投射武器相比損害較少，而且也可以被當成法杖來使用，所以常被選用。
ITEM_20151022_007331	有一種說法，伊斯托拉矛槍和其它伊斯托拉武器不同，已經存有某種雛形，而那個時候就是其它伊斯托拉武器被發明的時期。
ITEM_20151022_007332	被製作成具有可以對付突進的變異型怪物的強大耐久力。
ITEM_20151022_007333	昆蟲突擊而來時，有時候那個方向會是在空中，所以此武器的使用者也需要應付從空中襲擊的昆蟲型怪物。
ITEM_20151022_007334	主張克雷格武器之露克立斯起源說的人有一個最大的弱點，如果這個武器是他叛國之前製作的，就不可能直接用他的名字命名，如果是他叛國之後，他應該沒有時間去研究武器才是。
ITEM_20151022_007335	這個武器可以如實證明參與朝聖的人是非常多樣性的，如果你不怕它成為旅程的負擔，選擇這個武器也是不錯。
ITEM_20151022_007336	據說伊斯托拉長槍是從伊斯托拉矛槍發展而製造出的第一代伊斯托拉武器。
ITEM_20151022_007337	起源於泰內聖堂的武具並非都是在同一個時期被研制出來的。和簡單性相比，法杖比較晚被製作出，因為隨著材料的不同魔力持續時間也不同，為了讓魔力的持續時間能維持在一定時間內而做了一番努力，等到這點成功時，才完成了法杖。
ITEM_20151022_007338	從植物開始爆發性成長開始，在急遽的成長之下，已內含死亡。為了快速成長而多消耗的生命力令死亡提前，從蕨葉中獲得的魔力會還給植物們這種效果。
ITEM_20151022_007339	雖然很矛盾，但是將對抗野獸的力量放入此裝備一事上最有幫助的人就是神樹之日以前最愛護動物的職業人士。
ITEM_20151022_007340	賦予扺抗變異型怪物的魔法的過程比想像還要困難，一方面要壓制因為神樹之日事物要變異的傾向，另一方面作為武器得好好接受魔力才行。
ITEM_20151022_007341	據說亞佳伊拉弗羅里會想到製作對抗昆蟲型怪物的武器是因為之前都沒有人關心那個領域的關係。
ITEM_20151022_007342	不管主張露克立斯起源說的人理由為何， 據說露克立斯當時因為被宣告為叛徒，所以才隱藏他的名字，用了其它名字命名。 可是這些人也沒有辦法說明為何要使用克雷格這個名字也命名。
ITEM_20151022_007343	在女神們和人類相處的長久歲月裡，王國的各個地方、場所都有女神的留下的足跡和事蹟，而且還不少。因此產生了前往那些地方朝聖的人，所以尋求讓他們可以有一個安全旅程的方法之事，就變得非常自然。
ITEM_20151022_007344	有人認為或許是因為變異型怪物違反自然的倫理，所以才會從伊斯托拉武器哪裡受到更多的傷害。
ITEM_20151022_007345	- 所有寒冰法師技能等級+2{nl}  - 冰屬性技能攻擊時，以15%機率對敵人發動3秒的結冰效果
ITEM_20151022_007346	練習用左輪手槍
ITEM_20151022_007347	隨著重新審視伊斯托拉武器種類，根據現在伊斯托拉地區的好幾位學者所言，還研製了完全新型態的武器，而此武器就是其代表事例。
ITEM_20151022_007348	重劍
ITEM_20151022_007349	練習用細劍
ITEM_20151022_007350	亞斯頓細劍
ITEM_20151022_007351	沙普細劍
ITEM_20151022_007352	決鬥者
ITEM_20151022_007353	- 所有擊劍手技能等級 +1
ITEM_20151022_007354	貝尼耶勒
ITEM_20151022_007355	- 所有擊劍手技能等級+2{nl}  - 攻擊時以3%機率追加和神聖屬性攻擊力相同的傷害
ITEM_20151022_007356	很久以前某個時期，某位女神鼓勵其他女神們製作了一些物品，而參與其中的女神們大多是因為受到鼓勵而以遊戲的心態參加，但是主導這件事的女神是有意圖的，她認為將蘊藏女神們的神聖力的物品留在世上，也許對於後代子孫會有幫助，而這個手套就是那些成果物品之一。
ITEM_20151022_007357	很久以前在某個場所，有好幾個女神聚集在一起，她們將此當作遊戲，製作了一些具有神聖力的物品。那個場所被稱為女神的古院，但是真正的事實沒有人知道。總之當時被製造出的物品，就像這個鞋子一樣仍舊留在世上，並證明其價值。
ITEM_20151022_007358	儘管女神們沒有費盡心血來製作，但是因為有這些物品，面對世上的敵人，女神的權能間接地被使用，而本身具有其重要的意義。
ITEM_20151022_007359	很久以前，在被稱為女神的古院的地方，當女神們以遊戲為名製作一些神秘物品時，少數物品是以現有製品加上你們的神聖力的方式製造而成的，而此服裝就是屬於這種。
ITEM_20151022_007360	製作這個手套的場所，也就是過去女神們聚集在一起製作物品的那個女神的古院，並不確定是不是就是現在同名那個場所，但是不管是不是相同的場所，這個手套第一次被製造的場所可以確定就是那個院子沒錯。
ITEM_20151022_007361	具有歐葛瓦這個名稱的裝備可以間接證明這些物品的起源是女神，因為其流傳下來的製作法並不存在。
ITEM_20151022_007362	雖然流傳著各種說法，但是最初召集女神聚在一起製作歐葛瓦裝備的女神是拉伊瑪女神的說法是最有力的。
ITEM_20151022_007363	這些歐葛瓦裝備據說是女神們在女神的古老院製造出來的，但是我們無法得知那裡是否就是現在那個特定場所、那是多久以前發生的事，而最有力的說法就是那件事發生在人類開始記錄歷史之前。
ITEM_20151022_007364	少數人認為歐葛瓦裝備因為是女神的神聖力所製作的完成品，有些裝備的某處蘊藏極度神秘神聖力，並相信其具有絕對性威力，並打算要找出那個神秘威力，但是那所有努力都失敗了，即使單純只是傳聞，也不知道是否究竟真有這樣的物品，但還是找到了這個之前不為人知的手套。
ITEM_20151022_007365	很久以前在女神的古院是哪一位女神在什麼物品裡賦予了什麼樣的力量，現在的我們無從得知，可是我們可以推測，這個鞋子也許蘊藏了澤米娜女神的神力。
ITEM_20151022_007366	某些愛抱怨的人說，女神們在將權能放入裝備時，和其它的能力相比，最好能是在耐久性上給予力量。
ITEM_20151022_007367	我們無從得知究竟是經過某種緣由和路徑，讓歐葛瓦裝備廣為人知的，要包含這樣的來歷，可想而知經過多非久長的歲月。
ITEM_20151022_007368	發生神樹之日以後一直進行著利用植物來控制植物的試圖，在這樣的嚐試中有成功的案例，將這成果套用在裝備上，就是指這個種類的防具。
ITEM_20151022_007369	神樹之日以後，蕨葉為了保護自身而分泌的物質的行為，將此行為魔法性的套用於武器上是一件很困難的事，經驗無數努力而換得的成功，這點必須要感謝女神。
ITEM_20151022_007370	製作魔法裝備的方法分成二種，一種是從一開始就依照製作法製作的魔法裝備，另一種是在已經製作好的裝備上賦予魔法的方法，而此裝備就是屬於後者。
ITEM_20151022_007371	神樹之日以後，從爆發性成長的蕨葉上引出的魔力多半很容易套用於攻擊性裝備上，有發生套用於防具的效果會改變或是變弱的事例，而這件服裝就是這種狀況。
ITEM_20151022_007372	要製作此手套需要下一番努力，必須在特別的時間，在沒人看見的地方等待蕨葉開花的瞬間。這樣的耐力和集中力會以準確性的結果回報裝備此防具的人。
ITEM_20151022_007373	神樹之日以前，觀察蕨葉的發火儀式是為了願望成真或是祈求幸運的舊思維，但是神樹之日以後，人類的所有生活變得和之前完全不一樣了。而現在變成賦予在防具上的魔法手段了。
ITEM_20151022_007374	某些人認為女神在很久以前就已經將神秘的力量藏在蕨葉中，所以在會有在神樹之日之前的蕨葉觀察儀式和之後將力量套用於武器上的事。因為認為是很久很久以前流傳下來的習慣，所以其間都沒有神學者或是祭司對這秘密的習慣深入研究過。
ITEM_20151022_007375	此服裝上隱藏著象徵蕨葉新芽魔力圖案Koru，新芽從很久以前開始就具有很重大的信仰意義。
ITEM_20151022_007376	組成這個手套的每一個圈圈是獲得套用象徵蕨葉新芽的魔法力量而製作而成的。如果造成神樹之日的植物異常現象有一天會消失，那麼到時候也許就無法製作出蘊藏這種魔力的物品了。
ITEM_20151022_007377	神樹之日以後暴風成長的所有植物，不管多或少，大多都變得具有吸收生命力和元氣的能力。將這樣的能力套用在裝備上，從大地獲得力量一事是非常困難的魔法賦予。
ITEM_20151022_007378	從蕨葉的特徵上萃取出的魔力，可以具有至陽性和嫌光性中的某一種性質，可是考慮費用和實用性，只製作了可以扺抗黑暗的，相反的製作扺抗陽光一事就理論是可行，但是卻沒有實製作過。
ITEM_20151022_007379	雕刻師大師泰斯拉曾經有段時間遊走於王國各處，有少數魔法裝備跟他的遊走各處的故事有關。雖然不確認木雕祭司泰斯拉對於此手套的製作法有什麼樣的影響，但是人們卻非常接受這樣的傳說。
ITEM_20151022_007380	有一個關於此鞋子被製作的傳說，聽說泰斯拉以前經過史爾特凱拉森林的時候被荊棘刺傷了腳才製作了此鞋。那個時候史爾特凱拉森林的荊棘是否就很茂盛了，泰斯拉是否真的經歷過這種事才製作鞋子，這些問題並不重要。雖然泰斯拉本人還活著，但是沒有人去問他這個問題。
ITEM_20151022_007381	史爾特凱拉裝備充滿著各種傳說和故事。據某個傳說的說法，這個褲子是使用從荊棘樹萃取出的線製作的布來製作的。和此傳說的真實與否無關，很多人喜歡那少女的形象，少女隻身孤單地在森林裡抽取荊棘樹線。
ITEM_20151022_007382	喜歡在魔法物品上添加故事的人說，在泰斯拉從平凡的雕刻家到決心兼任祭司的時候，為了紀念而製作了這個布甲。喜歡在史爾特凱拉裝備上添加神秘故事的那些人的心理狀態算是挺值得研究的課題。
ITEM_20151022_007383	史爾特凱拉裝備比其它魔法裝備擁有更豐富的故事， 有人認為是因為受到荊棘林這種特有環境的影響。如果真是那樣，這種傳說故事的起源就是在神樹之日以後，而且這些傳說都變成沒有根據的故事了。
ITEM_20151022_007384	據說過去史爾特凱拉或是那附近有很多失蹤的土兵，親人們為了尋找他們，製作了這個鞋子。
ITEM_20151022_007385	據說從以前開始狩獵出沒於史爾特凱拉森林的野獸，活用野獸皮革的方法很發達，這就是這件衣服的起源。
ITEM_20151022_007386	很久以前史爾特凱拉在因為神樹之日怪物變多之前，據說那時也存有許多的野獸，聽說這個手套從那個時候就存在了。
ITEM_20151022_007387	本來就有各種傳承和起源的傳說，這就是豐富的史爾特凱拉裝備，其實也只是傳說啦！據說為了讓這個鞋子可以很容易在荒涼森林中移動，從很久以前開始就被傳統的史爾特凱拉地方所製作。
ITEM_20151022_007388	不管是現在或是過去， 因為地名和無關係的氣候，賦予裝備需要的魔法屬性的理由，就是此裝備是從久以前在其它環境被製造出的傳承根據。
ITEM_20151022_007389	據說皮里斯手套在神樹之日以前的魔力比現在還要高。沒人知道神樹之日時3重城牆被破壞以後，此裝備的魔力變弱的理由。
ITEM_20151022_007390	皮里斯防具擁有一種特性，當配戴者處在密閉的環境會有一種舒適感。
ITEM_20151022_007391	這個裝備曾經征服3重城牆警備兵，因為某個私密的理由而賦予裝備特別的魔法，而這個秘密只有軍方首腦部門知道。但是目前因為3重城牆的高階指揮官們全部都死亡了，所以看來很難知道那個理由了。
ITEM_20151022_007392	3重城牆警備兵的正規服裝依照需求被製作成各種型態。像這個手套就是為了可能會發生的籠城戰所準備的裝備。
ITEM_20151022_007393	3重城牆警備兵的正規服裝依照需求被製作成各種型態。像這個鞋子就是為了可能會發生的籠城戰所準備的裝備。
ITEM_20151022_007394	此裝備和其它皮里斯裝備不同，在神樹之日以前並不存在此裝備，因為最近的需求，而在現有裝備上賦予了新的魔法屬性。
ITEM_20151022_007395	在王國初期，此裝備只發給3重城牆最外圍的士兵們，因為如果外城被佔領時，此裝備會有幫助。但是隨著時間流逝和籠城戰的戰術和武器的變化，漸漸地此裝備普及於三重城牆全部的士兵了。
ITEM_20151022_007396	從3重城牆開始，守護城寨的士兵們，對他們最有幫助的裝備就是有魔法屬性的裝備，這就是長久以來受到城寨守護兵們喜歡的裝備。
ITEM_20151022_007397	這是發給城寨守護兵的裝備，特別是三重城牆的守護兵當中負責火攻的士兵們。神樹之日後有種說法，說在現今成為廢都的中心部上暴走的草木，負責城牆火攻的士兵們可以阻擋，這個說法連現在也常被提起，是一種有趣的說法。
ITEM_20151022_007398	雖然這是很奇怪的現象，阿雷魯諾男爵嶺和其它貴族領地相比是魔法師們活動和魔法物品製造很熱絡的地區。這種現象在神樹之日以後又變得更加熱絡，此手套就是在這樣的背景之下誕生的。
ITEM_20151022_007399	不管是過去還是現在，考慮到阿雷魯諾地方的主要產業是農業這點，很難說明最近此地區的魔法裝備的出現增加的這種怪異現象。總之，託這現象的福讓在這裡戰鬥的人們可以裝備這種鞋子。
ITEM_20151022_007400	突然想到最近有很多魔法師聚於在阿雷魯諾男爵嶺，像這件衣服一樣，有許多魔法物品出現也不是什麼奇怪的事。但是這和事實不符，魔法物品的增加和新的出現是有其它原因存在的。
ITEM_20151022_007401	某些魔法師覺得阿雷魯諾地發出現新的魔法物品是因為魔族所為，他們深入打聽但是卻找不到確實的證據。可是像此裝備一樣被當作具有黑暗屬性扺抗力的裝備的時候，魔族起源說的根據很弱是大家普遍的看法。
ITEM_20151022_007402	不管出現的理由為何，阿雷魯諾男爵嶺積極地收集這種裝備並發給部下們。不知道是不是因為這個緣故，聽說最近阿雷魯諾男爵嶺居民和士兵之間的摩擦變大了。
ITEM_20151022_007403	可以確定的是阿雷魯諾地方受到某個外部的魔法陣的影響。儘管賦加的不是很厲害的魔法，但是可以確定的是和其性能無關，此鞋子的魔法賦予形式是第一次出現。
ITEM_20151022_007404	關於出現在阿雷魯諾地方的魔法物品還有一個奇怪的地方，來到這裡的魔法師們所尋找的東西並不是這種魔法物品。 無論如何，這些被發現的物品都被居民或是士兵們使用了。
ITEM_20151022_007405	阿雷魯諾現在的領主為了再次強化已具有強大防禦力的這個裝備，而雇用了魔法師和匠人們，但是聽說他的這個舉動隱藏著其它目的。
ITEM_20151022_007406	如果阿雷魯諾的領主不會單純為了強化魔法裝備而僱用魔法師和匠人，那麼他所追求的目的有可能和令魔法裝備出現的原因有關連。
ITEM_20151022_007407	阿雷魯諾領主希望在自己的領地出現更多珍貴又強大的魔法物品，也許是太貪心的關係，但也可能是因為在他的領地上要重新生產出現的物品不是一件容易的事。
ITEM_20151022_007408	阿雷魯諾男爵嶺現在的領主正努力讓此裝備成為更強的裝備，具自己打算要配戴它，據說他是因為這個目的而僱用魔法師和匠人的。
ITEM_20151022_007409	有這樣的例子，隨身配戴在長時間修行的聖職者身上的物品會充滿神聖力。在需要這種事例的時候，這樣的試圖成功了，所以製作出現在的佩雷林手套。
ITEM_20151022_007410	很難取得對朝聖之路有幫助的物品的窮困朝聖者們，他們手上那些微不足道的物品，有時充滿女神的神聖力並展示新的能力。帶有佩雷林這個名稱的物品就是這種裝備。
ITEM_20151022_007411	無法知道某些朝聖者的物品具有什麼保護力，但是就算法則性無法得知，還是可以發現一定的規則性。如果不這樣那麼統稱這些物品的名稱佩雷林就不存在了。
ITEM_20151022_007412	為了製造佩雷林物品而進行了各種實驗。最具代表的就是一直到充滿神聖力為止，朝聖者們會一直穿著這個衣服過日子。就結果來說，就算這樣做，充滿神聖力的機率並沒有變高。
ITEM_20151022_007413	朝聖者配戴特定物品進行各種工作的時候，舉例來說像是配戴這個手套類物品，很多時候都會是佩雷林物品。這是因為在戴著手套的狀態下進行各種作業，在某個瞬間就成為習慣，所以不能說這是正確的製作法。
ITEM_20151022_007414	朝聖者走在朝聖之路上，如果知道他所帶的物品是佩雷林物品時，就算給其他人，效果也不會消失。 當自身的配戴品成為佩雷林物品的朝聖者持續製作佩雷林物品，但是這是不具有法則性。
ITEM_20151022_007415	如果朝聖者虔誠的生活讓女神的權能充滿於事物的話，那麼應該可以製造出具有更高深能力的物品，因此時至今日還一直持續嚐試。如果想到神樹之日以後變得辛苦的世上環境，這些嚐試是當然之事。
ITEM_20151022_007416	無法得知那些不是朝聖者，居住在同一個地方的誠實聖職者們，會不會出現相同的現象。雖說如此但也不是沒有事例，因為其不規則性而產生許多混亂，對於這種現象最簡單的態度就是所有一些都是女神的旨意的這種態度。
ITEM_20151022_007417	雖然是理所當然的事情，但是這佩雷林手套會經常在聖殿十字軍出身的朝聖者們的身上。
ITEM_20151022_007418	並不是只有聖職者才會出現佩雷林物品。 佩雷林脛靴的情形，就算不是聖職者的戰士系列信徒們的身上也經常會有出現的例子。
ITEM_20151022_007419	佩雷林裝備類的自然發生的規律性說不定永遠都無法探究出來。不過，因為所發現到的神聖保護之力具有規則性，所以許多的人們都想發現規律性，不放棄嘗試。
ITEM_20151022_007420	根據傳說，最初獲得這佩雷林裝備的人們就是第一代聖殿十字軍大師。泰內聖堂並沒有確定這樣細微的說法，所以還無法確定。
ITEM_20151022_007421	亞佳伊拉弗羅里死後到現在，在魔法之塔因為魔法師們的各種理由而製作了許多的魔法物品。其中有幾種一直使用到現在，但是大部份獨創者的名字被隱藏而流傳下來。轉換裝備就是這些物品的統稱。
ITEM_20151022_007422	轉換裝備除了將魔法師之塔做為起源的共通點之外，在製作的時代和人物上並沒有任何共通點。在弗羅里之後， 時代上需要統稱從塔出現的裝備的名稱，所以使用了這名稱。
ITEM_20151022_007423	某些轉換裝備因為該裝備所擁有的效果的相似性，可以推測被同樣的魔法師所製作。彷彿就像轉換短褲和長袍一樣。不過也無法排除為完全不同時代不同人物所偶然製作出來的可能性。
ITEM_20151022_007424	弗羅里之後，魔法師之塔的魔法師們曾經有將自己和世上隔離，埋首於自己們的實驗和研究的時期。在這時期，雖然有許多不簡單的發明，但流傳在世上的是還算不錯的轉換手套。
ITEM_20151022_007425	根據傳聞，在初期轉換裝備就具有很強大的威力。不過魔法師們不願外流到世上，一直守住祕密，結果並沒有留下轉成的實物或是製作法。目前剩下的裝備，大致上都具有這靴子水準的魔力。
ITEM_20151022_007426	轉換裝備有許多以魔法師的基準，根據日常的需要而製作的情形。聽說轉換皮革短褲是為了在使用閃電的實驗下保護魔法師，而立即製作的。
ITEM_20151022_007427	轉換裝備有許多以魔法師的基準，根據日常的需要而製作的情形。聽說轉換皮革上衣是為了在使用閃電的實驗下保護魔法師，而立即製作的。
ITEM_20151022_007428	有幾個轉換裝備脫離魔法師之塔，使用於世上並進行強化或應用。最初所被知道的就是手套提升的案例。
ITEM_20151022_007429	弗羅里死後，某個時期的魔法師們使用金屬進行了許多的實驗，所以金屬裝備已無法製作了 。因此目前的金屬製轉換裝備，起源就算在魔法師那，實質的獨創者是由魔法師之塔外部的無名貢獻者所完成的。
ITEM_20151022_007430	不同於其它的金屬製轉換裝備，轉換鋼鐵褲子被魔法師們製造使用。聽說魔法師們在嘗試飛行時會使用。
ITEM_20151022_007431	弗羅里死後數十年間，魔法師們使用金屬進行了許多的實驗，所以材料不足無法製作出金屬裝備了。因此目前的金屬製轉換裝備，起源就算在魔法師那，實質的製造者們為魔法師之塔外部的無名之人們。
ITEM_20151022_007432	德魯伊大師出生於夏頓之地，在神樹之日之後，為了這區域的安全做了許多努力，不斷提供或製作各種裝備。就算是不會參與戰鬥的農民，但也有許多受到這盔甲的幫助的案例。
ITEM_20151022_007433	不是只有單純的愛鄉心，她所促進的自然復原計劃也有關係，所以德魯伊大師派了許多的弟子到夏頓進行各種工作。為了不讓弟子們處於危險所準備的幾種簡單魔法裝備，當地人們也跟著使用。
ITEM_20151022_007434	德魯伊大師並沒有按照夏頓的當地人們使用她所提供的魔法裝備而制定契約。因此，在鄰近的居民或是開墾者們也都會使用。特別是像這短褲一樣。
ITEM_20151022_007435	神樹之日以後，受到出現在各地方的怪物折磨的人們需要不容易取得的魔法防具。儘管如此，在各種的障礙上，並無法輕易進行支援。 因為就連和怪物在第一線作戰的士兵們也都有無法取得的時候。德魯伊大師為了夏頓之地，使用她的力量和資產，雖然只是杯水車薪，但卻是很寶貴的事情。
ITEM_20151022_007436	即使不是和怪物戰鬥的人，夏頓裝備也對這地區人們的生計提供了各種的便利。因為就算是農夫或樵夫，也都需要確切的增加。
ITEM_20151022_007437	夏頓之地的開墾民之中，有部份拿著欲裝備就消失不見了。還無法確定他們是拿到工具就逃走了，還是遭受怪物迫害消失不見了。也許兩者都是吧。不過，在獲得靴子的人之中，發生那樣情形的人最多，似乎暗示某種可能性。
ITEM_20151022_007438	這衣服在發放之後，夏頓之地的開墾民在開墾作業中，受到燙傷的比率很明顯的減少了。
ITEM_20151022_007439	德魯伊大師毫無保留地幫助夏頓之地的貴族。多虧了她，夏頓的貴族在和怪物戰鬥時，生存率也提升了
ITEM_20151022_007440	有一些人擔心德魯伊大師不制定任何契約就提供魔法物品給夏頓之地的貴族們，反而會招來災禍。就算那樣，問題並不在於裝備，結論在使用那東西的人們是否能善加使用或是惡意濫用，這才是重要的問題。
ITEM_20151022_007441	就算是某人惡意濫用德魯伊大師的好意，但還是認為從怪物那讓人類受到保護是比什麼都重要的事情。那樣的人非常讚許德魯伊大師提供金屬製盔甲的事情。
ITEM_20151022_007442	堤拉修道院做為古老的信仰設施，許多的人們都對修道院提供了各種的捐贈。那些捐贈成為堤拉修道院特有魔法院備出現的基礎。
ITEM_20151022_007443	在堤拉修道院裝備之中，有部份在最初贈送者的許可之下進行改良了。修道院並沒有獨佔這樣的裝備，所以許多的人們獲得了優惠。.
ITEM_20151022_007444	以贈送給堤拉修道院的財產和魔法裝備做為基礎所製作的裝備。結果，在鄰近地區變成荊棘林時，給予人們很大的幫助。當然獲得最大利益的人們還是修道院裡的修士們。
ITEM_20151022_007445	堤拉修道院會有許多的專門贈送與捐款是因為修道院從以前開始就對犯下罪的人們很寬容。根據修道院的傳統，堤拉修道院不管是信仰的罪人，還是王國法律的違反者，比起懲罰更著重將焦點放在教化，平和對待。
ITEM_20151022_007446	多虧了對所屬修道士的嚴格及對外部人員寬容的堤拉修道院的信條，堤拉修道院並沒有失去初衷，在長久的歲月之中，作為聖職者們的自給自足的嚴格信仰共同體。因此，就像在幾個地區上所觀察到的類似案例一樣，在這裡魔法裝備不止是戰鬥用，也會使用於日常的作業。這裝備就是代表性的例子。
ITEM_20151022_007447	在神樹之日以前和女神見面並沒不困難。 儘管如此，知道羞恥的罪人們希望堤拉修道院成為他們和女神之間的窗口，透過此受到感化的許多人們將他們的熱誠捐贈給修道院，製作了目前堤拉修道院裝備的基礎。
ITEM_20151022_007448	根據堤拉修道院位置的氣候，在神樹之日之後完全不像有用處的魔法裝備，在這地區上變得非常需要了。這裝備就是這樣的情況。
ITEM_20151022_007449	堤拉修道院的老舊捐贈者名單上也包含了王室。修道院方面只要王室所賜予的魔法物品有利於人們，在分發上就絕不會猶豫，因此許多的人們都可以配戴優良的金屬製魔法裝備。
ITEM_20151022_007450	在過去王室將魔法裝備賦予堤拉修道院時，並不會設下特別的條件，因為堤拉修道院不管是什麼樣的裝備，只要對這世上有用，就不會吝嗇於分發。所以從以前開始，就有許多人們都可以獲得這靴子的幫助。
ITEM_20151022_007451	堤拉修道院附近一帶在神樹之日後，荊棘林就變得很茂盛，而這裝備的重要性也變大了。
ITEM_20151022_007452	聽說本來賦予在這裝備上的魔法就是不同的種類。在神樹之日後，因為暴走成長的荊棘林，所以被賦予了其它屬性的魔法。
