QUEST_UNUSED_00000000_000000	UTF-8-DOM問題迴避用
QUEST_UNUSED_20151022_001030	"""Yes, I am Anastos'... yes that's right.{nl}What brought you here?{nl}"""
QUEST_UNUSED_20151022_001031	"""Sorry, I can't answer your questions at the moment since I am too busy at the moment..{nl}If you can find my research documents, I may get some spare time..."""
QUEST_UNUSED_20151022_001032	"""Instead of blind devotion, a life of eliminating demons and preparing for chaos..{nl}I mean those kind of things.{nl}"""
QUEST_UNUSED_20151022_001033	This is truly strange.{nl}I should send one of my colleagues to find it out.
QUEST_UNUSED_20151022_001034	"""Ah, by the way, I am thinking about giving him a flare to prepare for any danger, but{nl}There aren't any adequate flares.{nl}"""
QUEST_UNUSED_20151022_001035	Can you get us the powders that burn well in the fire?{nl}There are so many monsters around so it won't be hard to obtain the materials.
QUEST_UNUSED_20151022_001036	Let's wait for the investigation results.{nl}He is a competant lad so he will find it out soon.
QUEST_UNUSED_20151022_001037	"""Since we can't just stand still, how about we find it out ourselves as well?{nl}"""
QUEST_UNUSED_20151022_001038	Good. Barte may have seen something.{nl}He recently joined our camp.{nl}
QUEST_UNUSED_20151022_001039	How about you ask her about Albinas?{nl}
QUEST_UNUSED_20151022_001040	Albinas?{nl}I saw someone with the apperances like your explanations near Majiva Grave Field.{nl}
QUEST_UNUSED_20151022_001041	"""When you go back to Majiva Grave Field, that leather may be still there.{nl}I... even if the goddesses tell me to go, I can't since I am too scared."""
QUEST_UNUSED_20151022_001042	What's the matter?{nl}I can't think anyone who would use that pattern except for the servant of Vaiga.{nl}
QUEST_UNUSED_20151022_001043	We better let other people know this fast.{nl}You let Gedas know!{nl}
QUEST_UNUSED_20151022_001044	"""Please, save Fabijus!{nl}Ah, before that, we better go back to Nestospa!{nl}"""
QUEST_UNUSED_20151022_001045	"""This holy water, please take it.{nl}You will get at least one chance of using it on the demons.{nl}"""
QUEST_UNUSED_20151022_001046	So you were safe.{nl}I've heard about Albinas from Fabijus.{nl}
QUEST_UNUSED_20151022_001047	Do you think that makes sense?{nl}You broke the well working tombstone and you are saying there is no tombstone?{nl}
QUEST_UNUSED_20151022_001048	What do you want me to say?{nl}I have a headache due to the tombstone so don't talk to me.
QUEST_UNUSED_20151022_001049	It is so fortunate that the divine water I gave to you was helpful.{nl}It gives me goose bumps to think that the demons are within humans and alienate.{nl}
QUEST_UNUSED_20151022_001050	Can you tell Damijonas about this?{nl}I think they must be protecting the broken tombstone near Usas Hill.
QUEST_UNUSED_20151022_001051	I was able to protect the conspiracy of the demons because of you.{nl}I thought we may have been seperated.
QUEST_UNUSED_20151022_001052	Oh. That's right.{nl}Is there anything you found out about Albinas?{nl}
QUEST_UNUSED_20151022_001053	I am sure there are people who fell into their alienating.{nl}They are trying to break them from inside...{nl}
QUEST_UNUSED_20151022_001054	"""Anyways, thank you.{nl}I hope the goddesses bless you."""
QUEST_UNUSED_20151022_001055	Albinas has disappeared! What's going on?
QUEST_UNUSED_20151022_001056	"""What, Are you interested in the revelation?{nl}But, there arent anything besides those writings...{nl}"""
QUEST_UNUSED_20151022_001057	"""First, you bring their attention as Eminent tells you to.{nl}At the same time, let's activate the magic circle at Paramiso Battle Field in secret with me."""
QUEST_UNUSED_20151022_001058	"""You guys should be punished according to kingdom orders in principle.{nl}But, since you've saved our lives and many of our collegues have failed..{nl}"""
QUEST_UNUSED_20151022_001059	"""The safety of our colleagues comes first instead of your punishment.{nl}If you could help recapture our headquarters, then I will not question why you've entered here."""
QUEST_UNUSED_20151022_001060	I will prepare the magic with the memories of the spirits so you go to Ataka Side Road.{nl}Bring everything you can.{nl}
QUEST_UNUSED_20151022_001061	I've seen the magic circles were activating. You are okay right? {nl}How about Eminent?{nl}
QUEST_UNUSED_20151022_001062	The space which the tyrant who you've asked threw away is probably.. {nl}It is the prison that was made in the era of Kadumel era. {nl}
QUEST_UNUSED_20151022_001063	"""Restoring the magic circle was the duty of Higgs, but we have no other way since he is injured.{nl}Also everyone is getting tired due to the coldness.. I want to lend your power."""
QUEST_UNUSED_20151022_001064	You are better than Higgs.{nl}Can you help us one more time?{nl}
QUEST_UNUSED_20151022_001065	"""I met the monsters while returning with the message.{nl}I think I can move if I take little more rest, but this message should be delivered fast..{nl}"""
QUEST_UNUSED_20151022_001066	You seem competent as a swordsman.{nl}Do you have any plans to reach a higher stage?
QUEST_UNUSED_20151022_001067	"""First, show me your skills.{nl}From the Woods of the Linked Bridges, come back after defeating 10 Lapflammers and 10 Lapemans."""
QUEST_UNUSED_20151022_001068	"""If you train hard, it won't be that hard."""
QUEST_UNUSED_20151022_001069	Good.{nl}You look competent enough to progress to the next level.
QUEST_UNUSED_20151022_001070	"""Are you the one who wants to walk the way of Highlander?{nl}Then, you should pass the test.{nl}I don't have time to waste on someone who is not worthy enough."""
QUEST_UNUSED_20151022_001071	"""The main weapon of the Highlander are the two handed swords. They are strong, but you should possess enough power to hold the swords.{nl}Attack the practice pole near it and I will test how strong you are."""
QUEST_UNUSED_20151022_001072	Attack the practice pole near me.{nl}I will evaluate how strong you are.
QUEST_UNUSED_20151022_001073	"""Hmm... It seems that you won't have a big problem.{nl}If you pass one more test, I will teach the skills of Highlander."""
QUEST_UNUSED_20151022_001074	"""Your power seems to be enough.{nl}Now, I will check how you use that power well."""
QUEST_UNUSED_20151022_001075	"""With you skills, Lapflammers at Paupys Dock won't be hard.{nl}When you come back after defeating 10 of them, I will open the way of Highlander to you."""
QUEST_UNUSED_20151022_001076	Come back after defeating Lapflammers at Paupys Dock.
QUEST_UNUSED_20151022_001077	"""Your competence won't do any harm to Highlanders' fame.{nl}My father who is a master would say the same thing.{nl}On behalf of the master, I will teach you the skills of Highlander."""
QUEST_UNUSED_20151022_001078	You want to become a Peltasta? That's a wise decision.{nl}Let me ask one question to you. Do you hate the demons?
QUEST_UNUSED_20151022_001079	"""Good. The most basic requirements have been fulfilled.{nl}We, Peltastas use the shield aggressively to face against the enemies.{nl}So you must have the basic understanding of using the shield."""
QUEST_UNUSED_20151022_001080	"""I'm going to ask you for some materials for your shield.{nl}First you collect metal decorations from Lapemans.{nl}Also, gather some dry wood from an isolated worshop there."""
QUEST_UNUSED_20151022_001081	"""The Lapeman metal decorations are used for the frame, the wood for the body.{nl}You'll find both in Paupys Crossing."""
QUEST_UNUSED_20151022_001082	"""Well done.{nl}When you obtain the manual for the shield in the future, I want you to make it yourself by collecting the materials yourself."""
QUEST_UNUSED_20151022_001083	Welcome to the world of Peltastas.{nl}Let's do our best until we defeat all the demons!
QUEST_UNUSED_20151022_001084	It's always good to see new brothers and sisters.{nl}Can you help the villagers here with me?
QUEST_UNUSED_20151022_001085	"""It's not good since Lapemans are keep giving the villagers pain at Linked Bridges.{nl}In fact, I want to punish them myself.{nl}But, Rosaliya... told me that I should not leave Orsha."""
QUEST_UNUSED_20151022_001086	"""On behalf of me, please correct the bad habit of Lapezards and Lapemiter."""
QUEST_UNUSED_20151022_001087	I am just doing my important duty which I've received from Master.{nl}I am not jealous of your journey!
QUEST_UNUSED_20151022_001088	Have you completed the mission?{nl}You would be able to become a higher level Cleric.
QUEST_UNUSED_20151022_001089	I welcome any brothers or sisters who would walk the way of Krivi.{nl}My name is Mellinda.{nl}I am going to give you a simple test if you are qualified to become a Krivi. Are you okay?
QUEST_UNUSED_20151022_001090	Good. The test is simple.{nl}Receive this crystal jewel.
QUEST_UNUSED_20151022_001091	This absorbs the monster's vitalities and possess them as the energy of the flame.{nl}Hunt for the monsters outside the city and put the energies into the jewel.
QUEST_UNUSED_20151022_001092	"""When the jewel gets big, use the jewel to light up the torch beside me.{nl}With that, I will test to see if you would be able to use the energies of the torch well."""
QUEST_UNUSED_20151022_001093	"""Defeat the monsters and fill in the energies of the jewel.{nl}And when you light up the torch with the jewel, the test will be over."""
QUEST_UNUSED_20151022_001094	I think you would be able to use the energy of the torch efficiently.{nl}Welcome to the way of Krivi.
QUEST_UNUSED_20151022_001095	"""You want to walk the way of the Priest.{nl}I recognized it at once. Your competence is enough to become a Priest.{nl}It's just... to pray that your journey would be alright, we need some preparations."""
QUEST_UNUSED_20151022_001096	"""Please receive this divine water.{nl}And you just have to receive blessing from the other priests here in Orsha.{nl}Ask for the blessing to Clerik, Krivi and Bokor sub-masters."""
QUEST_UNUSED_20151022_001097	"""Ask for the blessing to Cleric, Krivi and Bokor sub-masters."""
QUEST_UNUSED_20151022_001098	"""Good. Blessing from the four priests including me would help your journey.{nl}From now on, I want you to concentrate on the roles of Priest and responsibilities."""
QUEST_UNUSED_20151022_001099	You want to step into a higher level?{nl}It's going to be a tough way. Are you still going to go? To look for the strength?
QUEST_UNUSED_20151022_001100	Good. If that's so I would have to check whether you are ready.{nl}Defeat Yognomes at 63_3 of Bracken Forest.
QUEST_UNUSED_20151022_001101	"""If you could defeat 30 of them, I would acknowledge your strength."""
QUEST_UNUSED_20151022_001102	"""You are not just bluffing, but you surely possess competence.{nl}On behalf of the master, I will teach you everything about the Swordsman."""
QUEST_UNUSED_20151022_001103	"""Did you get used to two handed swords?{nl}Now, I will teach you how you can use two handed swords well."""
QUEST_UNUSED_20151022_001104	"""But, I want to check how much you've grown up as a Highlander.{nl}Yognomes at 63_3 of Bracken Forest would fit you well. I will teach you the skills after that."""
QUEST_UNUSED_20151022_001105	Defeat 30 Yognomes at 63_3 of Bracken Forest.
QUEST_UNUSED_20151022_001106	"""Well done. As I promised to you, I will teach you high level skills that can be used with two handed swords."""
QUEST_UNUSED_20151022_001107	Have you become familiar with using shields in battles?{nl}Okay then I will teach you the skills of Peltasta now.
QUEST_UNUSED_20151022_001108	And of course we should first find out whether you would be able to handle the high level skills.{nl}Defeat the monsters at 63_3 of Bracken Forest and collect the crystals from the monsters.{nl}You can get two from the demons so please go after the demons aggressively.
QUEST_UNUSED_20151022_001109	"""But, there are restrictions.{nl}Firstly, I only admit the crystals which you've obtained while equipped with shiedls.{nl}Secondly, if you become unable to fight, the crystals you would have collected until that point will be all cancelled."""
QUEST_UNUSED_20151022_001110	"""Defeat the monsters and collect the crystals while equipped with a shield.{nl}This is to check your surviving skills.{nl}For your reference, it will be efficient to defeat the demons."""
QUEST_UNUSED_20151022_001111	"""You seem competent enough as a Peltasta.{nl}Congratulations. As I promised to you, I will teach you skills that are one level higher."""
QUEST_UNUSED_20151022_001112	"""It's easy to teach you how to use a spear, but your mind is important.{nl}There is a location to test applicants like you.{nl}The assignment is simple. It's just irritating."""
QUEST_UNUSED_20151022_001113	"""Come back after defeating 30 Yognomes from Bracken Forest 63_3.{nl}If you do so, I will acknowledge your skills.{nl}In my feelings, you would pass the test easily."""
QUEST_UNUSED_20151022_001114	"""If you have a trouble with Yognomes, then it wouldn't be that bad to look for another way."""
QUEST_UNUSED_20151022_001115	"""You want to become a Barbarian? Can you endure the training?{nl}Good. I will test you to see whether you can at least imitate some fightings.{nl}If this was our hometown, they would have passed the test. Do you want to receive it?"""
QUEST_UNUSED_20151022_001116	The most important quality of Swordsman is belligerence.{nl}You should attack anyone who shows hostility to the ones that you should protect.{nl}Think of Yognomes at 63_3 of Bracken Forest as your barriers and destroy all of them.
QUEST_UNUSED_20151022_001117	I thought you are wiry since you told me that you wanted to become a Barbarian... Are you going to give up?
QUEST_UNUSED_20151022_001118	"""There are some useful people here even in this place.{nl}Good. On behalf of Walter at Klaipeda, I will teach you the skills of Barbarian."""
QUEST_UNUSED_20151022_001119	Have you heard the stories?{nl}Some of the refugees that were coming to Orsha are hurt and fell near Lemprasa Pond.{nl}We should save them!
QUEST_UNUSED_20151022_001120	"""I've endowed the blessing onto this special ointment.{nl}Use this ointment to cure the refugees who are laid near Lemprasa Pond.{nl}After curing all refugees, I will acknowledge you as a true cleric."""
QUEST_UNUSED_20151022_001121	"""If it was not the order of the master, I would have gone there.{nl}I have no one to trust except for you."""
QUEST_UNUSED_20151022_001122	It is so fortunate that a big problem didn't occur to them.{nl}It's all because of the devotion that you've shown to us.{nl}You look competent enough to progress to the last stage of Cleric.
QUEST_UNUSED_20151022_001123	I think the time has come to tell your religious belief to the goddesses and receive the blessings.{nl}Pray to the goddesses near Orsha and dedicate these goods.
QUEST_UNUSED_20151022_001124	"""Go to the statues of the goddesses at Lemprasa Pond, Linked Bridges, and Paupys Dock.{nl}Return after dedicating the goods to all statues."""
QUEST_UNUSED_20151022_001125	There are no official steps when it comes to offerings.{nl}They're something you do when you want to repent of past mistakes.
QUEST_UNUSED_20151022_001126	Well done. Aren't there any broken parts of the statues of the goddesses?{nl}You now have reached a higher stage.
QUEST_UNUSED_20151022_001127	"""I am taking care of the refugees of Orsha with other priests.{nl}But, the herbs that should be used for the ointment has run out.{nl}The time has come to test for your advancement so I will give you a small assignment."""
QUEST_UNUSED_20151022_001128	"""I am looking for three kinds of herbs.{nl}Obtain the herbs from 63_1, 63_2 and 63_3 of Bracken Forest."""
QUEST_UNUSED_20151022_001129	You will see the first herb when you dig into the pile of tree leaves near the exit which leads to the next territory.{nl}The second herb is growing on the region located below.{nl}The third herb has the yellow flower so you will easily find it.
QUEST_UNUSED_20151022_001130	"""The effects of the three herbs are not that different from each other.{nl}As I told you, don't forget this also tests for your advancement."""
QUEST_UNUSED_20151022_001131	"""Let's see... It surely is.{nl}When your good deeds accumulate like this, you will feel that your religious belief gets deeper.{nl}You've passed the test. From now on, you will be learning higher level Priest skills."""
QUEST_UNUSED_20151022_001132	"""Are you the one who wants to become a Bokor?{nl}Welcome. In order to become a Bokor, there is a test you must pass.{nl}Have you heard about it?{nl}"""
QUEST_UNUSED_20151022_001133	Yes! You should have made Bokor dolls in order for you to be called a Bokor.{nl}Make the doll with this manual.
QUEST_UNUSED_20151022_001134	"""Long time ago, the Master also became a Bokor after making Shaman Dolls.{nl}It is the ritual which has the history and the tradition."""
QUEST_UNUSED_20151022_001135	"""This Shaman Doll has the highest grade among the dolls which I've seen before!{nl}You seem to possess the attributes of Bokor.{nl}Now, you are the Bokor. Welcome!"""
QUEST_UNUSED_20151022_001136	"""You want to become a Dievdirbys? Of course, I welcome you.{nl}The way of Dievdirbys is open to everyone.{nl}Just... If you could listen to one of my little requests."""
QUEST_UNUSED_20151022_001137	The end of the graving chisel has run out.{nl}I guess we should ask the blacksmith in Orsha.{nl}Tell him that it is my request and get the new graving chisel.
QUEST_UNUSED_20151022_001138	I am sorry. I am counting on you until Orsha.{nl}I have matters to do here.
QUEST_UNUSED_20151022_001139	"""What's the matter? Ah.. I remember that Dievdirbys girl.{nl}But, what should I do. The chisel and the materials are all ran oout."""
QUEST_UNUSED_20151022_001140	I hope you can get the materials.
QUEST_UNUSED_20151022_001141	"""There will be times when you discover the chunks that are accumulated with metals from Yognomes at 63_3 of Bracken Forest.{nl}If you could bring those, I will make an useful graving chisel for you."""
QUEST_UNUSED_20151022_001142	The metals that are accumulated in the bodies of the monsters get crumpled together at 63_3 of Bracken Forest.{nl}Defeat Yognomes and collect the metal chunks.
QUEST_UNUSED_20151022_001143	"""Yes. This would be enough.{nl}Crafting is not that hard so if you wait a bit, I will make it for you."""
QUEST_UNUSED_20151022_001144	It is almost done.
QUEST_UNUSED_20151022_001145	It is a decent object so you would be able to stand for some time.{nl}Give it to him.
QUEST_UNUSED_20151022_001146	Ask him to come by Orsha sometimes.
QUEST_UNUSED_20151022_001147	"""Damn... I knew that it was taking longer than expected, but I didn't know that you made such efforts.{nl}Thank you. Of course, you are a Dievdirbys from now on."""
QUEST_UNUSED_20151022_001148	You've improved a lot! Everyone would acknowledge your skills.{nl}It's just.. you fall little short according to my father's standards.{nl}I will help you to reach a higher stage.
QUEST_UNUSED_20151022_001149	"""Good. Let's see one more time if you are competent enough to learn higher level skills.{nl}I will see how you handle existing skills well.{nl}I don't care which monster, just defeat any monster using Highlander's skills."""
QUEST_UNUSED_20151022_001150	Defeating monsters with the skills of Highlander. I think it's easy for the last assignment.
QUEST_UNUSED_20151022_001151	I've seen you use the skills which you previously learned really well.{nl}You won't have a problem learning higher level skills without any problem.{nl}I think I can say to anyone proudly that I am the one who taught you the skills.
QUEST_UNUSED_20151022_001152	"""You would easily defeat any kinds of demons.{nl}But, in order to defeat the real bad demons, you will have to try hard.{nl}I will open the true way of Peltasta for you."""
QUEST_UNUSED_20151022_001153	"""But, you should at least pass the minimum requirement.{nl}Come back after defeating Chapparitions from Karolis Springs."""
QUEST_UNUSED_20151022_001154	Chapparitions are not hard if we think about the courage that you've shown us so far.{nl}Don't worry too much.
QUEST_UNUSED_20151022_001155	Very good! I can now acknowledge you as a fellow soldier.{nl}I should report to the master individually.{nl}I will show you the true power of Peltastas with my authority.
QUEST_UNUSED_20151022_001156	Your growth is really surprising. I can feel something different in you.{nl}I am sure you will become stronger. Are you ready to proceed to the next level?
QUEST_UNUSED_20151022_001157	There is a monster which I faced long time ago.{nl}It ran away and I was worried that it may hurt the other people.
QUEST_UNUSED_20151022_001158	"""There is a rumor that he appeared again.{nl}Please kill it on behalf of me.{nl}And as a proof, please bring me the chisel that is on the body of the monster."""
QUEST_UNUSED_20151022_001159	Defeat Sparnasman at 64_2 of Bracken Monastery and bring me the tip of my spear.
QUEST_UNUSED_20151022_001160	That is definitely the tip of my spear wihich was on the body of the monster.{nl}I can proudly say that our competent Hopelite defeated it.
QUEST_UNUSED_20151022_001161	Hmm... You've become very strong.{nl}I didn't know that you've completed the training that hard. You will be able to learn the skills of the next stage.
QUEST_UNUSED_20151022_001162	"""Of course, I can't just teach you for free. Prove the strength you have!{nl}Without any enhancement effects on your body, come back after defeating the monsters at Feretory Hills."""
QUEST_UNUSED_20151022_001163	Prove the strength of the sword.
QUEST_UNUSED_20151022_001164	You are way more useful than I expected.{nl}My brother would be glad to know that a competant lad like you became a Barbarian.
QUEST_UNUSED_20151022_001165	You know well about the structure of the shield.{nl}You can come to me anyime to learn.
QUEST_UNUSED_20151022_001166	Cataphract. {nl}I don't know if it would fit you well.
QUEST_UNUSED_20151022_001167	I like your spirit.{nl}Try defeating Beast-type monsters at Feretory Hills.
QUEST_UNUSED_20151022_001168	"""Since Medzio Diena, the monsters that inflict the most harm are the Beast-type.{nl}Defeat the Beast-type monsters at Feretory Hills."""
QUEST_UNUSED_20151022_001169	I think you would be able to reach a higher level Krivis.{nl}Do you want to receive the test?
QUEST_UNUSED_20151022_001170	"""With this jewel, please go to Feretory Hills.{nl}Make scars on the monsters and use the power of the jewel to purify the monsters.{nl}When you do that, ashes will remain. Please gather them."""
QUEST_UNUSED_20151022_001171	Don't worry. It is the sacred flame so it would not harm you.
QUEST_UNUSED_20151022_001172	Your competence has been proven as a result.{nl}Congratulations on your entrance to the last stage of Krivis.{nl}I want you to help the ones who are stuggling with the power you have.
QUEST_UNUSED_20151022_001173	"""Now, it is time to leave for a far place and spread the blessing of the goddesses.{nl}But, we never know what kind of dangers are ahead of us.{nl}Especially the times like nowadays."""
QUEST_UNUSED_20151022_001174	Please show us that at least you can protect yourself.
QUEST_UNUSED_20151022_001175	The monsters at Feretory Hills would be enough.{nl}Come back after defeating them.
QUEST_UNUSED_20151022_001176	We can't save other people by just relying on the divinity.{nl}There are times that we need to use some force.
QUEST_UNUSED_20151022_001177	"""You won't have any trouble travelling far away.{nl}As a priest, please keep your mind and do your duties with all your heart."""
QUEST_UNUSED_20151022_001178	Now is the time to proceed to the next level of Bokor.{nl}I want to forecast your future as one of your collegues.{nl}Face the violent monsters and please bring me the cards that they drop.
QUEST_UNUSED_20151022_001179	"""The master told me that it is already decided that who and what cards will be brought.{nl}However, with my skills, I don't know what cards you would bring."""
QUEST_UNUSED_20151022_001180	"""The light, the salavation, the vice and the cursed jewel..? These are the everything I can read.{nl}They are all rarely written. Especially the last word is significant."""
QUEST_UNUSED_20151022_001181	"""It's your duty to interpret them.{nl}But, you look like someone with the abnormal destiny unlike other people.{nl}I hope that you can fulfill all your duties."""
QUEST_UNUSED_20151022_001182	"""When I was parted with Tesla, he gave me an assignment.{nl}I have to carve some special sculpture, but the materials are hard to obtain.{nl}He told me to request to someone who can be relied on and I think you are the right person."""
QUEST_UNUSED_20151022_001183	You will be able to encounter a monster called Sparnasman at 64_2 of Bracken Forest.{nl}Please bring me the horn on your head.
QUEST_UNUSED_20151022_001184	"""He didn't ask me to save him myself, but he wants me to ask someone who can be relied on...{nl}I think he is also testing my benevolence."""
QUEST_UNUSED_20151022_001185	"""You brought them well. I can tell they are the materials that I asked you.{nl}As I promised, I will teach you high level skills of Dievdirbys."""
QUEST_UNUSED_20151022_001186	You want to enter the way of Sadhu?{nl}Okay. Although it's hard for me to take the official test since only my spirit is here...{nl}I will test you with my method.
QUEST_UNUSED_20151022_001187	"""I will pass you my energies to you.{nl}When you use that energy at Feretory Hills, a part of monsters' spirits will be mixed.{nl}Defeat that monster and come back after absorbing the spirit."""
QUEST_UNUSED_20151022_001188	It seems that the spirits of the monsters are not enough yet.{nl}I can't open the way of Sadhu yet.
QUEST_UNUSED_20151022_001189	I can feel the great power of the spirit in you...{nl}I can tell how great is your competence. Congratulations on your entrance to the way of Sadhu.{nl}I will teach you the skills of Sadhu although only my spirit is here.
QUEST_UNUSED_20151022_001190	"""You want to enter the way of Paladin?{nl}It is different from other priestsl. In order to become a Paladin, you have to possess strong power."""
QUEST_UNUSED_20151022_001191	"""Good. You're skilled.{nl}Okay then, shall I test you? Come back after defeating monsters at Feretory Hills."""
QUEST_UNUSED_20151022_001192	"""We, Paladins stand at the front line when we fight against the demons.{nl}With the uncertain skills you have, you would soon experience something unfortunate."""
QUEST_UNUSED_20151022_001193	"""You've done well way better than I expected.{nl}As I promised, I will appoint you as a Paladin on behalf of the Master."""
QUEST_UNUSED_20151022_001194	Now is the time to take the last test.{nl}Are you ready to show me the skills that you've accumulated?
QUEST_UNUSED_20151022_001195	The Apsimesti Crossroads used to be the last test place for Hoplites.{nl}Many of your seniors fought against the monsters until their spears worn out.{nl}I will test your qualifications by seeing you gathering those broken spears.
QUEST_UNUSED_20151022_001196	This test isn't just to measure your strength.{nl}The stage which you are trying to reach can't be reached that easily.{nl}You also have to check how others tried to reach that level.
QUEST_UNUSED_20151022_001197	"""Well done. In the future, a new hoplite will follow the traces of you.{nl}You are already at the master stage, but if there's anything lacking, please come visit me."""
QUEST_UNUSED_20151022_001198	"""I can now call you a Rodelero.{nl}However, in order to become stronger, sometimes you should know your strength as well."""
QUEST_UNUSED_20151022_001199	"""I think you are ready.{nl}If that's so, defeat the monsters at Apsimesti Crossroads without using a shield.{nl}In fact, face the monsters without equipping the monsters."""
QUEST_UNUSED_20151022_001200	"""The shields are the most reliable colleague of Rodelero.{nl}But, a Swordsman should be strong himself."""
QUEST_UNUSED_20151022_001201	"""I was able to check the potential again.{nl}As you know, my teaching is very strict so you should be well prepared."""
QUEST_UNUSED_20151022_001202	"""How about it, do you understand now what the piercing is?{nl}Okay, then let's get ready to proceed to the next level."""
QUEST_UNUSED_20151022_001203	Let's assume that the spear which can pierce any enemy is your arm.{nl}We can say the legs are your companion which give you the mobility.{nl}Defeat the enemies in Apsimesti Crossroads while mounted on a companion.
QUEST_UNUSED_20151022_001204	"""If you don't get used to fighting agaist the others while mounted on a companion, give up on Cataphract.{nl}You don't have travel sickness right?"""
QUEST_UNUSED_20151022_001205	"""You are going to become a good cavalry after the kingdom gets reconstructed in the future.{nl}Of course, until then, use the skills that I will teach you and do your duties at your best."""
QUEST_UNUSED_20151022_001206	You've passed all previous assignements and your growth rate is also amazing.{nl}You won't have any problem enetering the last stage of Bokor!
QUEST_UNUSED_20151022_001207	"""No no. You shouldn't be satisfied too soon.{nl}Now, it is your turn to utilize the skills you've learned so far.{nl}Defeat the monsters at Apsimesti Crossroads."""
QUEST_UNUSED_20151022_001208	The skills which you've learned will be used effectively in the battles.{nl}It wouldn't be that dangerous in Apsimesti Crossroads.
QUEST_UNUSED_20151022_001209	Well done!{nl}Now your journey as a Bokor has really started.
QUEST_UNUSED_20151022_001210	"""I barely got in contact with Tesla!{nl}I've wrote you in the letter and he surely has high expectations in you.{nl}So, how about you try out for the last level of Dievdirbys?"""
QUEST_UNUSED_20151022_001211	"""By completing the request that was sent to us, I will treat that as your advancement test.{nl}The request is to repair the statue of the goddesses, but we need the materials for the perfumed oil that will be used for the repair.{nl}Please gather the lumps of oil from Ashrongs at Aqueduct region."""
QUEST_UNUSED_20151022_001212	"""When you gather the lumps of oil from Ashrongs, I will refine it and make it into the perfumed oil."""
QUEST_UNUSED_20151022_001213	"""We've completed the preparation stage.{nl}If you wait a bit, I will make you perfumed oil."""
QUEST_UNUSED_20151022_001214	"""The perfumed oil has been completed.{nl}With this perfumed oil, please repair Vakarine Statue at Orsha and Fedimian."""
QUEST_UNUSED_20151022_001215	I heard that one can easily move to Fedimian by using the power of the Goddess Statue.{nl}We would be able to reduce some time.
QUEST_UNUSED_20151022_001216	I think the citizens at the two cities will have hope by just looking at the clean statues.
QUEST_UNUSED_20151022_001217	You've come back from a long way. Tesla would compliment for sure.{nl}You would become great from now on.{nl}I guess I have a rival now.
QUEST_UNUSED_20151022_001218	"""You've come at the right time.{nl}I've heard that the number of Red Triamublos has increased a lot at Apsimesti Crossroads and they are threatening the villagers.{nl}If you want to step forward as a true Sadhu, please share your abilities."""
QUEST_UNUSED_20151022_001219	"""For the next test, face against stronger monsters.{nl}Are you ready?"""
QUEST_UNUSED_20151022_001220	"""Please take these relics to The Starving Demon's Way.{nl}When you react the relics to the abandoned altar up there, the monsters would appear.{nl}You know what's next even if I don't tell you anything right?"""
QUEST_UNUSED_20151022_001221	The abandoned altar is at the dead end of Starving Demon's Way up there.
QUEST_UNUSED_20151022_001222	Well done. You've stepped into a higher level.{nl}You possess the skills which I want to show to my ungle who is a master.
QUEST_UNUSED_20151022_001223	You've improved again. My uncle will be surprised.{nl}You should take the test to go to the last stage.{nl}We need the way to prove your skill.
QUEST_UNUSED_20151022_001224	I know a suitable opponent who you can fight against.{nl}Monsters called Gaigalas are going crazy at Tenent's Farm.
QUEST_UNUSED_20151022_001225	"""I can see how great you are.{nl}But, in order to advance, we need more clear verification."""
QUEST_UNUSED_20151022_001226	"""In fact, I thought it's going to be dangerous, but I guess I misunderstood your skills.{nl}Well done. Anyone would acknowledge you as a high level Paladin."""
QUEST_UNUSED_20151022_001227	I am looking for the whereabouts of Goddess Zemyna.{nl}Everyone knows that the goddess has disappeared.{nl}
QUEST_UNUSED_20151022_001228	Those relics belong to the goddesses.{nl}You shouldn't insult the dead by joking in the name of the goddess.{nl}
QUEST_UNUSED_20151022_001229	"""What?{nl}What have you brought here?{nl}Ah... it doesn't matter. If you are okay, can you help me out?{nl}"""
QUEST_UNUSED_20151022_001230	"""You've brought them well. Thanks.{nl}I want to repay you at the village..{nl}We, villagers do not really welcome outsiders though..{nl}"""
QUEST_UNUSED_20151022_001231	"""On your way back, you've seen the demons with the gigantic axe and the girl who was being chased after the demon?{nl}The demon with the great axe is the Demon Lord Zaura...{nl}The Revelator and the girl shoudn't meet... It's not something normal...{nl}"""
QUEST_UNUSED_20151022_001232	I should tell this to the village and let villagers know.{nl}We can't let outsiders fall into danger due to the matters in our village.
QUEST_UNUSED_20151022_001233	"""What? Are you the Revelator?{nl}If that's so, have you come here after dreaming about the disaster?{nl}.. If that's so, you may be the Revelator in the folkore that is passing down in our village.{nl}"""
QUEST_UNUSED_20151022_001234	"""In our village, the forecast which was left by the goddess Laima is being passed down as a folklore.{nl}When the village was in danger, the Revelator who came to chase after the dream with the sacred light{nl}It was about defeating the evil energy and saving the village.{nl}It's not time for this. We should get to the village and find out more about it.{nl}"""
QUEST_UNUSED_20151022_001235	"""I will go to the village and find out more about the folklore.{nl}I want you to retrieve the food which the ferrets had took away.{nl}Although, we don't welcome outsiders, if you could retrieve the food that was stolen by the ferrets, the villagers would help you out."""
